,predicted_ranking,predicted_ranking_weights,predicted_ranking_arr,true_ranking,true_ranking_weights,true_ranking_arr
1043_ada_agnostic,"('DyS', 'SMM', 'SORD', 'HDy', 'MAX', 'X', 'MS', 'ACC', 'CC', 'PACC', 'PCC')","[0.09397144 0.09357556 0.09351151 0.09326421 0.09293575 0.09281619
 0.09274732 0.09171016 0.08617676 0.0849384  0.08435271]","(np.float64(1.0361634944691047), np.float64(1.031798313436036), np.float64(1.0310920821766036), np.float64(1.02836524967022), np.float64(1.024743567488793), np.float64(1.0234252994401398), np.float64(1.0226658468103456), np.float64(1.011229725931046), np.float64(0.9502164431486472), np.float64(0.9365618001486492), np.float64(0.9301037864100303))","('SMM', 'SORD', 'MS', 'DyS', 'X', 'MAX', 'ACC', 'PACC', 'HDy', 'CC', 'PCC')","[0.09374283 0.09373215 0.09364143 0.09359874 0.09310243 0.09293166
 0.09267551 0.09152814 0.09046615 0.08306962 0.08151133]","(np.float64(1.0333002281269756), np.float64(1.0331825804338244), np.float64(1.0321825750420381), np.float64(1.0317119842694327), np.float64(1.0262413665378944), np.float64(1.0243590034474732), np.float64(1.0215354588118406), np.float64(1.0088883317980701), np.float64(0.9971823863295107), np.float64(0.9156525349756237), np.float64(0.8984759717755264))"
1460_banana,"('DyS', 'SORD', 'MS', 'SMM', 'MAX', 'HDy', 'ACC', 'X', 'PACC', 'CC', 'PCC')","[0.09374739 0.09356674 0.09343368 0.09337738 0.09278054 0.09261987
 0.09230649 0.09222428 0.08700262 0.08613011 0.08281089]","(np.float64(1.0327578324618103), np.float64(1.0307676725134343), np.float64(1.0293018659543396), np.float64(1.0286816358982087), np.float64(1.0221065944879744), np.float64(1.020336605479504), np.float64(1.0168842365998465), np.float64(1.0159786274953213), np.float64(0.9584548229283131), np.float64(0.9488429029095106), np.float64(0.9122770085063532))","('HDy', 'DyS', 'SORD', 'MAX', 'MS', 'X', 'PCC', 'SMM', 'ACC', 'CC', 'PACC')","[0.1051509  0.10155062 0.09841839 0.09841239 0.09159587 0.08897367
 0.08752156 0.08572743 0.08440733 0.08384928 0.07439257]","(np.float64(1.1665625969209958), np.float64(1.126620540884383), np.float64(1.0918709521325298), np.float64(1.0918043820391357), np.float64(1.0161807559431484), np.float64(0.9870896251298152), np.float64(0.9709796625283815), np.float64(0.9510752046034693), np.float64(0.9364297840567112), np.float64(0.9302387653710362), np.float64(0.825324298181533))"
1462_banknote-authentication,"('DyS', 'HDy', 'SORD', 'SMM', 'MS', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.09475374 0.094464   0.09405399 0.09395559 0.09391732 0.09347451
 0.09344171 0.09196567 0.0863458  0.08213637 0.08149128]","(np.float64(1.0451244414525254), np.float64(1.0419286331528974), np.float64(1.0374062629205192), np.float64(1.036320894064311), np.float64(1.0358988061755314), np.float64(1.0310146463221046), np.float64(1.0306528567029278), np.float64(1.0143723238648439), np.float64(0.9523857025232997), np.float64(0.9059560347958443), np.float64(0.898840838963016))","('DyS', 'SORD', 'MS', 'MAX', 'X', 'SMM', 'ACC', 'HDy', 'CC', 'PCC', 'PACC')","[0.09153672 0.09130928 0.09126885 0.0912638  0.09125369 0.09113744
 0.09112734 0.09111723 0.09063709 0.0898537  0.08949486]","(np.float64(1.0069471556800638), np.float64(1.004445266076568), np.float64(1.004000485702613), np.float64(1.0039448881558686), np.float64(1.0038336930623801), np.float64(1.0025549494872599), np.float64(1.0024437543937712), np.float64(1.0023325593002828), np.float64(0.9970507923595691), np.float64(0.9884331726141943), np.float64(0.9844857467953453))"
1466_cardiotocography,"('DyS', 'SORD', 'SMM', 'MS', 'MAX', 'X', 'HDy', 'ACC', 'CC', 'PACC', 'PCC')","[0.09415433 0.09371759 0.09362677 0.09342861 0.09333728 0.09330659
 0.09283844 0.09235186 0.08507798 0.08445091 0.08370963]","(np.float64(1.038700886389675), np.float64(1.033882855817799), np.float64(1.0328809146703195), np.float64(1.0306948307408925), np.float64(1.0296873030059004), np.float64(1.0293486582620344), np.float64(1.0241840896127707), np.float64(1.0188162238073497), np.float64(0.9385715485301653), np.float64(0.931653728025024), np.float64(0.9234760096868828))","('ACC', 'CC', 'MAX', 'MS', 'SMM', 'SORD', 'X', 'DyS', 'HDy', 'PACC', 'PCC')","[0.09099143 0.09099143 0.09099143 0.09099143 0.09099143 0.09099143
 0.09099143 0.09097642 0.09096141 0.09056108 0.09056108]","(np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0007435889143264), np.float64(1.0005784526055428), np.float64(0.9961748177046502), np.float64(0.9961748177046502))"
1475_first-order-theorem-proving,"('DyS', 'SORD', 'SMM', 'HDy', 'X', 'MAX', 'MS', 'ACC', 'PCC', 'CC', 'PACC')","[0.09459695 0.09419809 0.09406601 0.0940618  0.09382132 0.09380431
 0.09067996 0.08913512 0.08588574 0.08510577 0.08464493]","(np.float64(1.0443501335636345), np.float64(1.0399466738434895), np.float64(1.0384885599896212), np.float64(1.038442042612082), np.float64(1.0357871263301734), np.float64(1.0355993686736744), np.float64(1.0011065519088314), np.float64(0.9840515677805395), np.float64(0.9481784343036075), np.float64(0.9395674762601033), np.float64(0.9344798817399687))","('DyS', 'HDy', 'SORD', 'SMM', 'ACC', 'MS', 'MAX', 'X', 'PACC', 'CC', 'PCC')","[0.09423113 0.09406076 0.0937365  0.09358261 0.09347819 0.09329682
 0.09309897 0.09302203 0.08495949 0.08470668 0.08182681]","(np.float64(1.0388807876301696), np.float64(1.0370024462587852), np.float64(1.0334275384874414), np.float64(1.0317309720874817), np.float64(1.030579730601795), np.float64(1.0285802059161275), np.float64(1.0263989062590366), np.float64(1.0255506230590568), np.float64(0.9366626620325906), np.float64(0.933875445804085), np.float64(0.9021254174619798))"
1479_hill-valley,"('DyS', 'MAX', 'SORD', 'SMM', 'X', 'MS', 'HDy', 'ACC', 'CC', 'PACC', 'PCC')","[0.09357466 0.09326909 0.09315273 0.09271155 0.09270091 0.0922759
 0.09220957 0.09101035 0.0871466  0.0864091  0.08553954]","(np.float64(1.0320873514830677), np.float64(1.0287170271723767), np.float64(1.0274336079269888), np.float64(1.0225675725267118), np.float64(1.022450176937086), np.float64(1.0177625429012946), np.float64(1.0170309563488327), np.float64(1.0038040752617055), np.float64(0.961188596361769), np.float64(0.9530543603664959), np.float64(0.9434634868079002))","('HDy', 'DyS', 'SORD', 'SMM', 'ACC', 'MS', 'MAX', 'X', 'PCC', 'CC', 'PACC')","[0.09893515 0.09879281 0.09809818 0.09742062 0.09731814 0.09695943
 0.08940957 0.08940957 0.08627803 0.07723073 0.07014775]","(np.float64(1.0999134792650431), np.float64(1.0983309810068864), np.float64(1.0906083895070795), np.float64(1.0830756977982519), np.float64(1.0819362990523786), np.float64(1.0779484034418227), np.float64(0.9940126958291702), np.float64(0.9940126958291702), np.float64(0.9591977341497138), np.float64(0.858614144861248), np.float64(0.7798690315353504))"
1485_madelon,"('DyS', 'HDy', 'SORD', 'MAX', 'MS', 'SMM', 'X', 'ACC', 'PCC', 'CC', 'PACC')","[0.09368964 0.09313692 0.09306018 0.09269786 0.09261019 0.09127429
 0.09057952 0.09050754 0.09015743 0.08887003 0.0834164 ]","(np.float64(1.0339400014514242), np.float64(1.0278403683923234), np.float64(1.0269934606974223), np.float64(1.0229949286001252), np.float64(1.0220274753788965), np.float64(1.0072847560408058), np.float64(0.9996173761206908), np.float64(0.998823062868557), np.float64(0.9949593403606878), np.float64(0.9807517852052688), np.float64(0.9205666213008561))","('HDy', 'CC', 'DyS', 'PCC', 'PACC', 'SMM', 'MAX', 'SORD', 'MS', 'ACC', 'X')","[0.09405718 0.09318767 0.09297975 0.09220476 0.09163769 0.09129745
 0.09112733 0.08954584 0.08881495 0.08814707 0.08700033]","(np.float64(1.0351605676640303), np.float64(1.0255911016690618), np.float64(1.0233027511050476), np.float64(1.0147734444573582), np.float64(1.008532488373683), np.float64(1.004787914723478), np.float64(1.0029156278983753), np.float64(0.98551029482057), np.float64(0.9774663958682774), np.float64(0.9701159364808379), np.float64(0.957495336400517))"
1489_phoneme,"('DyS', 'SORD', 'MS', 'MAX', 'X', 'ACC', 'SMM', 'CC', 'PACC', 'HDy', 'PCC')","[0.09148101 0.09141521 0.09135954 0.09125325 0.09122795 0.09122795
 0.09121276 0.09064085 0.09058517 0.09020052 0.08939579]","(np.float64(1.0063333944740007), np.float64(1.0056096093532445), np.float64(1.0049971757891638), np.float64(1.0038279844410354), np.float64(1.0035496055483828), np.float64(1.00354960554552), np.float64(1.0033825782136736), np.float64(0.997091215228047), np.float64(0.9964787816643728), np.float64(0.9922474225128994), np.float64(0.9833949737216529))","('DyS', 'MS', 'HDy', 'SORD', 'SMM', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.09455309 0.09419701 0.0941751  0.09402719 0.09395597 0.09356702
 0.09347937 0.09157295 0.08654943 0.08217783 0.08174505]","(np.float64(1.0428068330159301), np.float64(1.038879661768453), np.float64(1.038637989691685), np.float64(1.037006703173502), np.float64(1.0362212689240067), np.float64(1.0319315895613774), np.float64(1.030964901254306), np.float64(1.009939430575504), np.float64(0.9545361069764763), np.float64(0.9063225276612918), np.float64(0.9015495041451272))"
1494_qsar-biodeg,"('DyS', 'SORD', 'MS', 'MAX', 'X', 'SMM', 'ACC', 'HDy', 'CC', 'PCC', 'PACC')","[0.09153672 0.09130928 0.09126885 0.0912638  0.09125369 0.09113744
 0.09112734 0.09111723 0.09063709 0.0898537  0.08949486]","(np.float64(1.0069471556840988), np.float64(1.0044452660805807), np.float64(1.0040004857051887), np.float64(1.003944888159271), np.float64(1.0038336930656289), np.float64(1.002554949491419), np.float64(1.0024437543945994), np.float64(1.0023325593028374), np.float64(0.9970507923531993), np.float64(0.9884331726073727), np.float64(0.9844857467879001))","('HDy', 'DyS', 'SMM', 'MS', 'SORD', 'ACC', 'MAX', 'X', 'PACC', 'CC', 'PCC')","[0.09346407 0.09304991 0.09285876 0.0927207  0.09214193 0.09131891
 0.09111714 0.09010828 0.08992774 0.08916844 0.08412412]","(np.float64(1.0288616513490934), np.float64(1.0243024834929744), np.float64(1.0221982521747655), np.float64(1.020678529556059), np.float64(1.0143073847314823), np.float64(1.005247499889194), np.float64(1.0030263668310848), np.float64(0.9919207015405382), np.float64(0.9899333719622299), np.float64(0.9815748975593446), np.float64(0.9260465711066113))"
1496_ringnorm,"('DyS', 'HDy', 'SMM', 'MS', 'SORD', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.09194774 0.09185519 0.09169579 0.09162895 0.09156725 0.09126388
 0.09126388 0.09120218 0.09042062 0.08917115 0.08798338]","(np.float64(1.0115868162369974), np.float64(1.0105685687719956), np.float64(1.0088149203539645), np.float64(1.0080795194102035), np.float64(1.0074006877680386), np.float64(1.004063098854344), np.float64(1.0040630988511956), np.float64(1.0033842672073148), np.float64(0.9947857330518707), np.float64(0.9810393922774415), np.float64(0.9679718831421522))","('DyS', 'SORD', 'MS', 'SMM', 'HDy', 'MAX', 'ACC', 'X', 'PACC', 'CC', 'PCC')","[0.09384066 0.09344793 0.09338337 0.09310899 0.09301215 0.09281309
 0.09239884 0.09212984 0.08708886 0.08610433 0.08267194]","(np.float64(1.0337987409107101), np.float64(1.029472169656843), np.float64(1.0287609524644261), np.float64(1.025738279396656), np.float64(1.0246714536080312), np.float64(1.0224785339314135), np.float64(1.017914890280074), np.float64(1.0149514853116717), np.float64(0.9594172762038131), np.float64(0.9485712140194608), np.float64(0.9107581666226479))"
