,predicted_ranking,predicted_ranking_weights,predicted_ranking_arr,true_ranking,true_ranking_weights,true_ranking_arr
1043_ada_agnostic,"('DyS', 'SMM', 'MS', 'SORD', 'HDy', 'MAX', 'ACC', 'X', 'PACC', 'CC', 'PCC')","[0.09335911 0.09302778 0.09296567 0.09291222 0.09269322 0.09233796
 0.092211   0.09209146 0.08694263 0.08673301 0.08472594]","(np.float64(1.0284767860033286), np.float64(1.0248267339971802), np.float64(1.024142533009663), np.float64(1.0235536910056522), np.float64(1.021141131385042), np.float64(1.017227472604136), np.float64(1.01582876507113), np.float64(1.0145118989348691), np.float64(0.957790556071675), np.float64(0.9554813512065581), np.float64(0.9333707741057781))","('SMM', 'SORD', 'MS', 'DyS', 'X', 'MAX', 'ACC', 'PACC', 'HDy', 'CC', 'PCC')","[0.09374283 0.09373215 0.09364143 0.09359874 0.09310243 0.09293166
 0.09267551 0.09152814 0.09046615 0.08306962 0.08151133]","(np.float64(1.0333002281269756), np.float64(1.0331825804338244), np.float64(1.0321825750420381), np.float64(1.0317119842694327), np.float64(1.0262413665378944), np.float64(1.0243590034474732), np.float64(1.0215354588118406), np.float64(1.0088883317980701), np.float64(0.9971823863295107), np.float64(0.9156525349756237), np.float64(0.8984759717755264))"
1460_banana,"('DyS', 'SORD', 'MS', 'SMM', 'MAX', 'HDy', 'ACC', 'X', 'PACC', 'CC', 'PCC')","[0.09374992 0.09357188 0.09343926 0.09338092 0.09278319 0.09262069
 0.09231085 0.09222946 0.08699578 0.08612048 0.08279758]","(np.float64(1.0327877448237548), np.float64(1.0308263770945318), np.float64(1.0293653431712406), np.float64(1.028722647378661), np.float64(1.0221378324632513), np.float64(1.0203476645486498), np.float64(1.0169343437546745), np.float64(1.0160377463133152), np.float64(0.9583813735700585), np.float64(0.9487386946885192), np.float64(0.9121322680833828))","('HDy', 'DyS', 'SORD', 'MAX', 'MS', 'X', 'PCC', 'SMM', 'ACC', 'CC', 'PACC')","[0.1051509  0.10155062 0.09841839 0.09841239 0.09159587 0.08897367
 0.08752156 0.08572743 0.08440733 0.08384928 0.07439257]","(np.float64(1.1665625969209958), np.float64(1.126620540884383), np.float64(1.0918709521325298), np.float64(1.0918043820391357), np.float64(1.0161807559431484), np.float64(0.9870896251298152), np.float64(0.9709796625283815), np.float64(0.9510752046034693), np.float64(0.9364297840567112), np.float64(0.9302387653710362), np.float64(0.825324298181533))"
1462_banknote-authentication,"('DyS', 'HDy', 'SORD', 'SMM', 'MS', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.09475374 0.094464   0.09405399 0.09395559 0.09391732 0.09347451
 0.09344171 0.09196567 0.0863458  0.08213637 0.08149128]","(np.float64(1.045124441452267), np.float64(1.0419286331527136), np.float64(1.0374062629203236), np.float64(1.0363208940642228), np.float64(1.035898806175604), np.float64(1.0310146463233916), np.float64(1.0306528567041942), np.float64(1.014372323863994), np.float64(0.9523857025250861), np.float64(0.90595603479473), np.float64(0.8988408389606313))","('DyS', 'SORD', 'MS', 'MAX', 'X', 'SMM', 'ACC', 'HDy', 'CC', 'PCC', 'PACC')","[0.09153672 0.09130928 0.09126885 0.0912638  0.09125369 0.09113744
 0.09112734 0.09111723 0.09063709 0.0898537  0.08949486]","(np.float64(1.0069471556800638), np.float64(1.004445266076568), np.float64(1.004000485702613), np.float64(1.0039448881558686), np.float64(1.0038336930623801), np.float64(1.0025549494872599), np.float64(1.0024437543937712), np.float64(1.0023325593002828), np.float64(0.9970507923595691), np.float64(0.9884331726141943), np.float64(0.9844857467953453))"
1466_cardiotocography,"('DyS', 'SORD', 'SMM', 'MAX', 'MS', 'X', 'HDy', 'ACC', 'PACC', 'CC', 'PCC')","[0.09415519 0.09380238 0.0936383  0.09342542 0.09338387 0.09321175
 0.09252021 0.09196904 0.08571294 0.08429724 0.08388368]","(np.float64(1.0388154188076781), np.float64(1.0349227604996325), np.float64(1.0331125283953726), np.float64(1.0307638007306963), np.float64(1.0303053517312297), np.float64(1.0284063383530302), np.float64(1.0207765884976157), np.float64(1.0146955029096156), np.float64(0.945671962401844), np.float64(0.9300524506449835), np.float64(0.925489627200632))","('ACC', 'CC', 'MAX', 'MS', 'SMM', 'SORD', 'X', 'DyS', 'HDy', 'PACC', 'PCC')","[0.09099143 0.09099143 0.09099143 0.09099143 0.09099143 0.09099143
 0.09099143 0.09097642 0.09096141 0.09056108 0.09056108]","(np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0007435889143264), np.float64(1.0005784526055428), np.float64(0.9961748177046502), np.float64(0.9961748177046502))"
1475_first-order-theorem-proving,"('DyS', 'SORD', 'SMM', 'HDy', 'X', 'MAX', 'MS', 'ACC', 'PCC', 'CC', 'PACC')","[0.09517547 0.09476839 0.09463235 0.09458939 0.09436372 0.09432211
 0.08991307 0.08830835 0.08591992 0.08462199 0.08338523]","(np.float64(1.0516406966253113), np.float64(1.047142721963122), np.float64(1.045639591952423), np.float64(1.0451648903709674), np.float64(1.0426713593580414), np.float64(1.0422115321893388), np.float64(0.9934938695620371), np.float64(0.9757625474790419), np.float64(0.9493716535149448), np.float64(0.9350301660499007), np.float64(0.9213645827157699))","('DyS', 'HDy', 'SORD', 'SMM', 'ACC', 'MS', 'MAX', 'X', 'PACC', 'CC', 'PCC')","[0.09423113 0.09406076 0.0937365  0.09358261 0.09347819 0.09329682
 0.09309897 0.09302203 0.08495949 0.08470668 0.08182681]","(np.float64(1.0388807876301696), np.float64(1.0370024462587852), np.float64(1.0334275384874414), np.float64(1.0317309720874817), np.float64(1.030579730601795), np.float64(1.0285802059161275), np.float64(1.0263989062590366), np.float64(1.0255506230590568), np.float64(0.9366626620325906), np.float64(0.933875445804085), np.float64(0.9021254174619798))"
1479_hill-valley,"('DyS', 'SORD', 'MAX', 'SMM', 'X', 'MS', 'HDy', 'ACC', 'CC', 'PCC', 'PACC')","[0.09354159 0.09328442 0.09312734 0.09269642 0.09249308 0.09203576
 0.09175197 0.09087974 0.08711913 0.08666025 0.08641029]","(np.float64(1.0321431264768348), np.float64(1.0293055254665553), np.float64(1.0275722148138988), np.float64(1.022817399149572), np.float64(1.0205738088810925), np.float64(1.0155277139901682), np.float64(1.012396368054314), np.float64(1.002772079344897), np.float64(0.9612773561790688), np.float64(0.956214013179795), np.float64(0.9534559266775273))","('HDy', 'DyS', 'SORD', 'SMM', 'ACC', 'MS', 'MAX', 'X', 'PCC', 'CC', 'PACC')","[0.09893515 0.09879281 0.09809818 0.09742062 0.09731814 0.09695943
 0.08940957 0.08940957 0.08627803 0.07723073 0.07014775]","(np.float64(1.0999134792650431), np.float64(1.0983309810068864), np.float64(1.0906083895070795), np.float64(1.0830756977982519), np.float64(1.0819362990523786), np.float64(1.0779484034418227), np.float64(0.9940126958291702), np.float64(0.9940126958291702), np.float64(0.9591977341497138), np.float64(0.858614144861248), np.float64(0.7798690315353504))"
1485_madelon,"('DyS', 'HDy', 'SORD', 'MS', 'MAX', 'PCC', 'SMM', 'ACC', 'X', 'CC', 'PACC')","[0.09397748 0.09350232 0.09333779 0.09257118 0.09252005 0.09222119
 0.09077662 0.09047555 0.08980782 0.08958267 0.08122733]","(np.float64(1.038004436520881), np.float64(1.032756132194773), np.float64(1.0309387971486044), np.float64(1.0224714554430612), np.float64(1.0219067404711941), np.float64(1.018605738821631), np.float64(1.0026500642239056), np.float64(0.9993247310167875), np.float64(0.9919494459269969), np.float64(0.989462577288529), np.float64(0.8971758487536307))","('HDy', 'CC', 'DyS', 'PCC', 'PACC', 'SMM', 'MAX', 'SORD', 'MS', 'ACC', 'X')","[0.09405718 0.09318767 0.09297975 0.09220476 0.09163769 0.09129745
 0.09112733 0.08954584 0.08881495 0.08814707 0.08700033]","(np.float64(1.0351605676640303), np.float64(1.0255911016690618), np.float64(1.0233027511050476), np.float64(1.0147734444573582), np.float64(1.008532488373683), np.float64(1.004787914723478), np.float64(1.0029156278983753), np.float64(0.98551029482057), np.float64(0.9774663958682774), np.float64(0.9701159364808379), np.float64(0.957495336400517))"
1489_phoneme,"('DyS', 'SORD', 'MS', 'MAX', 'X', 'ACC', 'SMM', 'CC', 'PACC', 'HDy', 'PCC')","[0.09148101 0.09141521 0.09135954 0.09125325 0.09122795 0.09122795
 0.09121276 0.09064085 0.09058517 0.09020052 0.08939579]","(np.float64(1.0063333944714015), np.float64(1.0056096093508247), np.float64(1.0049971757871698), np.float64(1.0038279844388127), np.float64(1.003549605546189), np.float64(1.0035496055451119), np.float64(1.003382578211205), np.float64(0.9970912152331993), np.float64(0.9964787816693375), np.float64(0.9922474225109247), np.float64(0.9833949737246501))","('DyS', 'MS', 'HDy', 'SORD', 'SMM', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.09455309 0.09419701 0.0941751  0.09402719 0.09395597 0.09356702
 0.09347937 0.09157295 0.08654943 0.08217783 0.08174505]","(np.float64(1.0428068330159301), np.float64(1.038879661768453), np.float64(1.038637989691685), np.float64(1.037006703173502), np.float64(1.0362212689240067), np.float64(1.0319315895613774), np.float64(1.030964901254306), np.float64(1.009939430575504), np.float64(0.9545361069764763), np.float64(0.9063225276612918), np.float64(0.9015495041451272))"
1494_qsar-biodeg,"('DyS', 'SORD', 'MS', 'MAX', 'X', 'SMM', 'ACC', 'HDy', 'CC', 'PCC', 'PACC')","[0.09153672 0.09130928 0.09126885 0.0912638  0.09125369 0.09113744
 0.09112734 0.09111723 0.09063709 0.0898537  0.08949486]","(np.float64(1.0069471556826008), np.float64(1.0044452660790402), np.float64(1.0040004857038147), np.float64(1.0039448881579658), np.float64(1.00383369306441), np.float64(1.0025549494898476), np.float64(1.002443754393925), np.float64(1.0023325593024717), np.float64(0.9970507923557956), np.float64(0.988433172609423), np.float64(0.9844857467910836))","('HDy', 'DyS', 'SMM', 'MS', 'SORD', 'ACC', 'MAX', 'X', 'PACC', 'CC', 'PCC')","[0.09346407 0.09304991 0.09285876 0.0927207  0.09214193 0.09131891
 0.09111714 0.09010828 0.08992774 0.08916844 0.08412412]","(np.float64(1.0288616513490934), np.float64(1.0243024834929744), np.float64(1.0221982521747655), np.float64(1.020678529556059), np.float64(1.0143073847314823), np.float64(1.005247499889194), np.float64(1.0030263668310848), np.float64(0.9919207015405382), np.float64(0.9899333719622299), np.float64(0.9815748975593446), np.float64(0.9260465711066113))"
1496_ringnorm,"('DyS', 'HDy', 'SMM', 'MS', 'SORD', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.09194774 0.09185519 0.09169579 0.09162895 0.09156725 0.09126388
 0.09126388 0.09120218 0.09042062 0.08917115 0.08798338]","(np.float64(1.0115868162366721), np.float64(1.0105685687718846), np.float64(1.0088149203538035), np.float64(1.008079519410027), np.float64(1.0074006877677246), np.float64(1.0040630988539492), np.float64(1.0040630988507515), np.float64(1.003384267206896), np.float64(0.9947857330526083), np.float64(0.9810393922778736), np.float64(0.9679718831430936))","('DyS', 'SORD', 'MS', 'SMM', 'HDy', 'MAX', 'ACC', 'X', 'PACC', 'CC', 'PCC')","[0.09384066 0.09344793 0.09338337 0.09310899 0.09301215 0.09281309
 0.09239884 0.09212984 0.08708886 0.08610433 0.08267194]","(np.float64(1.0337987409107101), np.float64(1.029472169656843), np.float64(1.0287609524644261), np.float64(1.025738279396656), np.float64(1.0246714536080312), np.float64(1.0224785339314135), np.float64(1.017914890280074), np.float64(1.0149514853116717), np.float64(0.9594172762038131), np.float64(0.9485712140194608), np.float64(0.9107581666226479))"
