,predicted_ranking,predicted_ranking_weights,predicted_ranking_arr,true_ranking,true_ranking_weights,true_ranking_arr
1043_ada_agnostic,"('DyS', 'SMM', 'SORD', 'HDy', 'MAX', 'X', 'MS', 'ACC', 'CC', 'PACC', 'PCC')","[0.09446454 0.09399524 0.09399205 0.09373855 0.0934516  0.09333058
 0.09189066 0.09075551 0.08548543 0.08452147 0.08437437]","(np.float64(1.0422922398870353), np.float64(1.0371141256936842), np.float64(1.0370788486536828), np.float64(1.034281892393738), np.float64(1.0311157762448913), np.float64(1.0297804822774308), np.float64(1.0138927841676728), np.float64(1.0013679235486546), np.float64(0.9432194736868962), np.float64(0.9325834430402834), np.float64(0.9309604263295279))","('SMM', 'SORD', 'MS', 'DyS', 'X', 'MAX', 'ACC', 'PACC', 'HDy', 'CC', 'PCC')","[0.09374283 0.09373215 0.09364143 0.09359874 0.09310243 0.09293166
 0.09267551 0.09152814 0.09046615 0.08306962 0.08151133]","(np.float64(1.0333002281269756), np.float64(1.0331825804338244), np.float64(1.0321825750420381), np.float64(1.0317119842694327), np.float64(1.0262413665378944), np.float64(1.0243590034474732), np.float64(1.0215354588118406), np.float64(1.0088883317980701), np.float64(0.9971823863295107), np.float64(0.9156525349756237), np.float64(0.8984759717755264))"
1460_banana,"('DyS', 'SORD', 'MS', 'SMM', 'MAX', 'HDy', 'ACC', 'X', 'PACC', 'CC', 'PCC')","[0.09374512 0.09356429 0.09343157 0.09337532 0.09277895 0.09261864
 0.09230539 0.09222299 0.08700748 0.08613399 0.08281625]","(np.float64(1.0327310476362526), np.float64(1.0307390100274347), np.float64(1.029276839156112), np.float64(1.0286571964873714), np.float64(1.0220873863337894), np.float64(1.0203213308927015), np.float64(1.0168704750617117), np.float64(1.0159627414988583), np.float64(0.9585067573474255), np.float64(0.9488840794718195), np.float64(0.9123346110492239))","('HDy', 'DyS', 'SORD', 'MAX', 'MS', 'X', 'PCC', 'SMM', 'ACC', 'CC', 'PACC')","[0.1051509  0.10155062 0.09841839 0.09841239 0.09159587 0.08897367
 0.08752156 0.08572743 0.08440733 0.08384928 0.07439257]","(np.float64(1.1665625969209958), np.float64(1.126620540884383), np.float64(1.0918709521325298), np.float64(1.0918043820391357), np.float64(1.0161807559431484), np.float64(0.9870896251298152), np.float64(0.9709796625283815), np.float64(0.9510752046034693), np.float64(0.9364297840567112), np.float64(0.9302387653710362), np.float64(0.825324298181533))"
1462_banknote-authentication,"('DyS', 'HDy', 'SORD', 'SMM', 'MS', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.09475374 0.094464   0.09405399 0.09395559 0.09391732 0.09347451
 0.09344171 0.09196567 0.0863458  0.08213637 0.08149128]","(np.float64(1.045124441451488), np.float64(1.0419286331516102), np.float64(1.0374062629196703), np.float64(1.0363208940635522), np.float64(1.0358988061747394), np.float64(1.0310146463213568), np.float64(1.0306528567022615), np.float64(1.0143723238645732), np.float64(0.9523857025245762), np.float64(0.9059560347980496), np.float64(0.8988408389651138))","('DyS', 'SORD', 'MS', 'MAX', 'X', 'SMM', 'ACC', 'HDy', 'CC', 'PCC', 'PACC')","[0.09153672 0.09130928 0.09126885 0.0912638  0.09125369 0.09113744
 0.09112734 0.09111723 0.09063709 0.0898537  0.08949486]","(np.float64(1.0069471556800638), np.float64(1.004445266076568), np.float64(1.004000485702613), np.float64(1.0039448881558686), np.float64(1.0038336930623801), np.float64(1.0025549494872599), np.float64(1.0024437543937712), np.float64(1.0023325593002828), np.float64(0.9970507923595691), np.float64(0.9884331726141943), np.float64(0.9844857467953453))"
1466_cardiotocography,"('DyS', 'SORD', 'SMM', 'MS', 'MAX', 'X', 'HDy', 'ACC', 'CC', 'PACC', 'PCC')","[0.09380531 0.09339807 0.09334039 0.09316857 0.09305015 0.0930279
 0.09255427 0.09220227 0.08565261 0.0855256  0.08427486]","(np.float64(1.0343821382901432), np.float64(1.029891467761961), np.float64(1.02925541892243), np.float64(1.0273608514363133), np.float64(1.0260550598984837), np.float64(1.02580967207186), np.float64(1.0205869880758207), np.float64(1.0167055065823576), np.float64(0.944483035742556), np.float64(0.9430824891397092), np.float64(0.9292907207571215))","('ACC', 'CC', 'MAX', 'MS', 'SMM', 'SORD', 'X', 'DyS', 'HDy', 'PACC', 'PCC')","[0.09099143 0.09099143 0.09099143 0.09099143 0.09099143 0.09099143
 0.09099143 0.09097642 0.09096141 0.09056108 0.09056108]","(np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0007435889143264), np.float64(1.0005784526055428), np.float64(0.9961748177046502), np.float64(0.9961748177046502))"
1475_first-order-theorem-proving,"('DyS', 'SORD', 'SMM', 'HDy', 'X', 'MAX', 'MS', 'ACC', 'PACC', 'CC', 'PCC')","[0.09429244 0.09394109 0.09384984 0.09364109 0.09347636 0.0934763
 0.09117801 0.08977972 0.08562232 0.08541469 0.08532815]","(np.float64(1.0404432233386038), np.float64(1.0365663727131957), np.float64(1.035559532894363), np.float64(1.0332560899751935), np.float64(1.0314384260204972), np.float64(1.0314378027840434), np.float64(1.0060780171816346), np.float64(0.9906489663253445), np.float64(0.9447753032065468), np.float64(0.9424842138791903), np.float64(0.9415293197831296))","('DyS', 'HDy', 'SORD', 'SMM', 'ACC', 'MS', 'MAX', 'X', 'PACC', 'CC', 'PCC')","[0.09423113 0.09406076 0.0937365  0.09358261 0.09347819 0.09329682
 0.09309897 0.09302203 0.08495949 0.08470668 0.08182681]","(np.float64(1.0388807876301696), np.float64(1.0370024462587852), np.float64(1.0334275384874414), np.float64(1.0317309720874817), np.float64(1.030579730601795), np.float64(1.0285802059161275), np.float64(1.0263989062590366), np.float64(1.0255506230590568), np.float64(0.9366626620325906), np.float64(0.933875445804085), np.float64(0.9021254174619798))"
1479_hill-valley,"('DyS', 'SORD', 'MAX', 'SMM', 'HDy', 'X', 'MS', 'ACC', 'CC', 'PCC', 'PACC')","[0.09351074 0.09318813 0.0930541  0.09274145 0.09268822 0.0920548
 0.09175089 0.09119822 0.08773059 0.08627713 0.08580573]","(np.float64(1.0312637132019435), np.float64(1.0277058814222118), np.float64(1.0262277438888137), np.float64(1.0227796719504987), np.float64(1.0221927121383243), np.float64(1.0152071091673542), np.float64(1.0118555423548903), np.float64(1.0057604984528379), np.float64(0.9675185546597911), np.float64(0.9514892843182231), np.float64(0.9462905692666875))","('HDy', 'DyS', 'SORD', 'SMM', 'ACC', 'MS', 'MAX', 'X', 'PCC', 'CC', 'PACC')","[0.09893515 0.09879281 0.09809818 0.09742062 0.09731814 0.09695943
 0.08940957 0.08940957 0.08627803 0.07723073 0.07014775]","(np.float64(1.0999134792650431), np.float64(1.0983309810068864), np.float64(1.0906083895070795), np.float64(1.0830756977982519), np.float64(1.0819362990523786), np.float64(1.0779484034418227), np.float64(0.9940126958291702), np.float64(0.9940126958291702), np.float64(0.9591977341497138), np.float64(0.858614144861248), np.float64(0.7798690315353504))"
1485_madelon,"('DyS', 'HDy', 'SORD', 'MAX', 'MS', 'SMM', 'ACC', 'X', 'PCC', 'CC', 'PACC')","[0.09348938 0.09328736 0.09303018 0.09260945 0.09189858 0.09147648
 0.09075505 0.0903655  0.09009302 0.08936439 0.08363061]","(np.float64(1.0313747109211384), np.float64(1.029145990868701), np.float64(1.0263087933453154), np.float64(1.021667298755731), np.float64(1.0138250173820964), np.float64(1.009168361909036), np.float64(1.0012095390219788), np.float64(0.9969120464865618), np.float64(0.9939060987344362), np.float64(0.9858677796266491), np.float64(0.9226127508695544))","('HDy', 'CC', 'DyS', 'PCC', 'PACC', 'SMM', 'MAX', 'SORD', 'MS', 'ACC', 'X')","[0.09405718 0.09318767 0.09297975 0.09220476 0.09163769 0.09129745
 0.09112733 0.08954584 0.08881495 0.08814707 0.08700033]","(np.float64(1.0351605676640303), np.float64(1.0255911016690618), np.float64(1.0233027511050476), np.float64(1.0147734444573582), np.float64(1.008532488373683), np.float64(1.004787914723478), np.float64(1.0029156278983753), np.float64(0.98551029482057), np.float64(0.9774663958682774), np.float64(0.9701159364808379), np.float64(0.957495336400517))"
1489_phoneme,"('DyS', 'SORD', 'MS', 'MAX', 'X', 'ACC', 'SMM', 'CC', 'PACC', 'HDy', 'PCC')","[0.09148101 0.09141521 0.09135954 0.09125325 0.09122795 0.09122795
 0.09121276 0.09064085 0.09058517 0.09020052 0.08939579]","(np.float64(1.0063333944745565), np.float64(1.0056096093536415), np.float64(1.0049971757894733), np.float64(1.0038279844414477), np.float64(1.0035496055488637), np.float64(1.0035496055459439), np.float64(1.0033825782140655), np.float64(0.9970912152269321), np.float64(0.9964787816635448), np.float64(0.99224742251377), np.float64(0.9833949737200453))","('DyS', 'MS', 'HDy', 'SORD', 'SMM', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.09455309 0.09419701 0.0941751  0.09402719 0.09395597 0.09356702
 0.09347937 0.09157295 0.08654943 0.08217783 0.08174505]","(np.float64(1.0428068330159301), np.float64(1.038879661768453), np.float64(1.038637989691685), np.float64(1.037006703173502), np.float64(1.0362212689240067), np.float64(1.0319315895613774), np.float64(1.030964901254306), np.float64(1.009939430575504), np.float64(0.9545361069764763), np.float64(0.9063225276612918), np.float64(0.9015495041451272))"
1494_qsar-biodeg,"('DyS', 'SORD', 'MS', 'MAX', 'X', 'SMM', 'ACC', 'HDy', 'CC', 'PCC', 'PACC')","[0.09153672 0.09130928 0.09126885 0.0912638  0.09125369 0.09113744
 0.09112734 0.09111723 0.09063709 0.0898537  0.08949486]","(np.float64(1.0069471556842573), np.float64(1.004445266080747), np.float64(1.004000485705406), np.float64(1.0039448881593724), np.float64(1.003833693065718), np.float64(1.0025549494916706), np.float64(1.0024437543946991), np.float64(1.0023325593029349), np.float64(0.997050792352613), np.float64(0.9884331726065431), np.float64(0.984485746788232))","('HDy', 'DyS', 'SMM', 'MS', 'SORD', 'ACC', 'MAX', 'X', 'PACC', 'CC', 'PCC')","[0.09346407 0.09304991 0.09285876 0.0927207  0.09214193 0.09131891
 0.09111714 0.09010828 0.08992774 0.08916844 0.08412412]","(np.float64(1.0288616513490934), np.float64(1.0243024834929744), np.float64(1.0221982521747655), np.float64(1.020678529556059), np.float64(1.0143073847314823), np.float64(1.005247499889194), np.float64(1.0030263668310848), np.float64(0.9919207015405382), np.float64(0.9899333719622299), np.float64(0.9815748975593446), np.float64(0.9260465711066113))"
1496_ringnorm,"('DyS', 'HDy', 'SMM', 'MS', 'SORD', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.09194774 0.09185519 0.09169579 0.09162895 0.09156725 0.09126388
 0.09126388 0.09120218 0.09042062 0.08917115 0.08798338]","(np.float64(1.0115868162387822), np.float64(1.010568568772561), np.float64(1.0088149203556505), np.float64(1.0080795194117886), np.float64(1.0074006877698392), np.float64(1.0040630988560624), np.float64(1.0040630988528259), np.float64(1.003384267207962), np.float64(0.9947857330475282), np.float64(0.9810393922742696), np.float64(0.9679718831404116))","('DyS', 'SORD', 'MS', 'SMM', 'HDy', 'MAX', 'ACC', 'X', 'PACC', 'CC', 'PCC')","[0.09384066 0.09344793 0.09338337 0.09310899 0.09301215 0.09281309
 0.09239884 0.09212984 0.08708886 0.08610433 0.08267194]","(np.float64(1.0337987409107101), np.float64(1.029472169656843), np.float64(1.0287609524644261), np.float64(1.025738279396656), np.float64(1.0246714536080312), np.float64(1.0224785339314135), np.float64(1.017914890280074), np.float64(1.0149514853116717), np.float64(0.9594172762038131), np.float64(0.9485712140194608), np.float64(0.9107581666226479))"
