quantifier,dataset,sample_size,sampling_seed,iteration,alpha,pred_prev,abs_error,run_time
Top-1,AedesQuinx,100,623,1,0.0,0.0,0.0,0.12309070001356304
Top-1,AedesQuinx,100,243,2,0.0,0.0,0.0,0.11652189999585971
Top-1,AedesQuinx,100,18,3,0.0,0.0,0.0,0.13331850001122802
Top-1,AedesQuinx,100,549,4,0.0,0.0,0.0,0.12615290004760027
Top-1,AedesQuinx,100,447,5,0.0,0.0,0.0,0.12695669999811798
Top-1,AedesQuinx,100,954,6,0.0,0.0,0.0,0.11756440001772717
Top-1,AedesQuinx,100,562,7,0.0,0.0,0.0,0.11467869998887181
Top-1,AedesQuinx,100,739,8,0.0,0.0,0.0,0.1317389000323601
Top-1,AedesQuinx,100,84,9,0.0,0.0,0.0,0.12714779999805614
Top-1,AedesQuinx,100,51,10,0.0,0.0,0.0,0.12074899999424815
Top-1,AedesQuinx,100,949,1,0.05,0.02,0.030000000000000002,0.11681410000892356
Top-1,AedesQuinx,100,144,2,0.05,0.0,0.05,0.11851399997249246
Top-1,AedesQuinx,100,940,3,0.05,0.0,0.05,0.11944979999680072
Top-1,AedesQuinx,100,575,4,0.05,0.03,0.020000000000000004,0.12343910004710779
Top-1,AedesQuinx,100,304,5,0.05,0.04,0.010000000000000002,0.11856420000549406
Top-1,AedesQuinx,100,462,6,0.05,0.0,0.05,0.11845030001131818
Top-1,AedesQuinx,100,296,7,0.05,0.0,0.05,0.1172929999884218
Top-1,AedesQuinx,100,22,8,0.05,0.01,0.04,0.12215409998316318
Top-1,AedesQuinx,100,17,9,0.05,0.0,0.05,0.11959449999267235
Top-1,AedesQuinx,100,317,10,0.05,0.02,0.030000000000000002,0.12554859998635948
Top-1,AedesQuinx,100,917,1,0.11,0.14,0.030000000000000013,0.12451150000561029
Top-1,AedesQuinx,100,271,2,0.11,0.09,0.020000000000000004,0.15956060000462458
Top-1,AedesQuinx,100,605,3,0.11,0.05,0.06,0.11620300001231954
Top-1,AedesQuinx,100,824,4,0.11,0.07,0.039999999999999994,0.1157734000007622
Top-1,AedesQuinx,100,68,5,0.11,0.04,0.07,0.11738800001330674
Top-1,AedesQuinx,100,434,6,0.11,0.05,0.06,0.11787359998561442
Top-1,AedesQuinx,100,977,7,0.11,0.03,0.08,0.11687870003515854
Top-1,AedesQuinx,100,909,8,0.11,0.07,0.039999999999999994,0.11619049997534603
Top-1,AedesQuinx,100,594,9,0.11,0.06,0.05,0.11866710003232583
Top-1,AedesQuinx,100,923,10,0.11,0.0,0.11,0.1177904000505805
Top-1,AedesQuinx,100,881,1,0.16,0.13,0.03,0.12023900001076981
Top-1,AedesQuinx,100,593,2,0.16,0.12,0.04000000000000001,0.11713819997385144
Top-1,AedesQuinx,100,435,3,0.16,0.07,0.09,0.1172383000375703
Top-1,AedesQuinx,100,772,4,0.16,0.07,0.09,0.1155367000028491
Top-1,AedesQuinx,100,958,5,0.16,0.14,0.01999999999999999,0.11714530002791435
Top-1,AedesQuinx,100,295,6,0.16,0.02,0.14,0.11811449995730072
Top-1,AedesQuinx,100,403,7,0.16,0.07,0.09,0.11689860001206398
Top-1,AedesQuinx,100,375,8,0.16,0.15,0.010000000000000009,0.11650050000753254
Top-1,AedesQuinx,100,37,9,0.16,0.11,0.05,0.12109470000723377
Top-1,AedesQuinx,100,651,10,0.16,0.02,0.14,0.11745419999351725
Top-1,AedesQuinx,100,963,1,0.21,0.04,0.16999999999999998,0.12108070001704618
Top-1,AedesQuinx,100,459,2,0.21,0.14,0.06999999999999998,0.11792250000871718
Top-1,AedesQuinx,100,396,3,0.21,0.14,0.06999999999999998,0.12071020004805177
Top-1,AedesQuinx,100,392,4,0.21,0.11,0.09999999999999999,0.11678059998666868
Top-1,AedesQuinx,100,615,5,0.21,0.27,0.060000000000000026,0.11744479998014867
Top-1,AedesQuinx,100,217,6,0.21,0.08,0.13,0.12356029998045415
Top-1,AedesQuinx,100,810,7,0.21,0.11,0.09999999999999999,0.11742999998386949
Top-1,AedesQuinx,100,695,8,0.21,0.19,0.01999999999999999,0.11905269999988377
Top-1,AedesQuinx,100,166,9,0.21,0.26,0.05000000000000002,0.11939980002352968
Top-1,AedesQuinx,100,78,10,0.21,0.07,0.13999999999999999,0.1199866000097245
Top-1,AedesQuinx,100,711,1,0.26,0.13,0.13,0.12020359997404739
Top-1,AedesQuinx,100,998,2,0.26,0.21,0.05000000000000002,0.12024010001914576
Top-1,AedesQuinx,100,247,3,0.26,0.17,0.09,0.1204202999942936
Top-1,AedesQuinx,100,43,4,0.26,0.1,0.16,0.12064290000125766
Top-1,AedesQuinx,100,443,5,0.26,0.28,0.020000000000000018,0.1171500000054948
