quantifier,dataset,sample_size,real_prev,pred_prev,abs_error,run_time
ACC,AedesQuinx,100,0.0,0.03,0.026000000000000002,0.0002582000015536323
ACC,AedesQuinx,100,0.05,0.05,0.024,0.0002578999992692843
ACC,AedesQuinx,100,0.11,0.08,0.023,0.0002609000002848916
ACC,AedesQuinx,100,0.16,0.08,0.03900000000000001,0.00025859999732347205
ACC,AedesQuinx,100,0.21,0.1,0.05800000000000001,0.00025829999503912404
ACC,AedesQuinx,100,0.26,0.19,0.036,0.0002571000004536472
ACC,AedesQuinx,100,0.32,0.29,0.052000000000000005,0.00025800000003073364
ACC,AedesQuinx,100,0.37,0.25,0.05800000000000001,0.00025469999673077837
ACC,AedesQuinx,100,0.42,0.37,0.041999999999999996,0.00025099999766098335
ACC,AedesQuinx,100,0.47,0.32,0.043000000000000003,0.0002596000049379654
ACC,AedesQuinx,100,0.53,0.52,0.037,0.0002523000002838671
ACC,AedesQuinx,100,0.58,0.51,0.06800000000000002,0.00024960000155260786
ACC,AedesQuinx,100,0.63,0.73,0.05,0.0002486000012140721
ACC,AedesQuinx,100,0.68,0.68,0.029000000000000005,0.00025150000146823004
ACC,AedesQuinx,100,0.74,0.7,0.054000000000000006,0.0002514000007067807
ACC,AedesQuinx,100,0.79,0.78,0.039,0.0002482999989297241
ACC,AedesQuinx,100,0.84,0.86,0.029000000000000005,0.0002457000009599142
ACC,AedesQuinx,100,0.89,0.9,0.045,0.0002458000017213635
ACC,AedesQuinx,100,0.95,0.92,0.031000000000000007,0.00025150000146823004
ACC,AedesQuinx,100,1.0,1.0,0.009,0.0002609000002848916
ACC,AedesSex,100,0.0,0.01,0.009,0.0002539999986765906
ACC,AedesSex,100,0.05,0.07,0.007000000000000001,0.00025800000003073364
ACC,AedesSex,100,0.11,0.11,0.016,0.0002564000023994595
ACC,AedesSex,100,0.16,0.18,0.016000000000000004,0.0002542000001994893
ACC,AedesSex,100,0.21,0.21,0.009999999999999998,0.0002544999952078797
ACC,AedesSex,100,0.26,0.26,0.008,0.00025910000113071874
ACC,AedesSex,100,0.32,0.3,0.009,0.0002564000023994595
ACC,AedesSex,100,0.37,0.36,0.013000000000000001,0.0002552999940235168
ACC,AedesSex,100,0.42,0.44,0.015,0.0002583999958005734
ACC,AedesSex,100,0.47,0.47,0.012,0.000258100000792183
ACC,AedesSex,100,0.53,0.53,0.019,0.00025889999960782006
ACC,AedesSex,100,0.58,0.54,0.01,0.00025680000544525683
ACC,AedesSex,100,0.63,0.62,0.015,0.00025549999554641545
ACC,AedesSex,100,0.68,0.69,0.020999999999999998,0.0002569999996921979
ACC,AedesSex,100,0.74,0.74,0.009999999999999998,0.0002569999996921979
ACC,AedesSex,100,0.79,0.79,0.011,0.0002572999947005883
