,predicted_ranking,predicted_ranking_weights,predicted_ranking_arr,true_ranking,true_ranking_weights,true_ranking_arr
1043_ada_agnostic,"('DyS', 'HDy', 'SMM', 'MS', 'SORD', 'MAX', 'ACC', 'X', 'PACC', 'CC', 'PCC')","[0.09376413 0.09362988 0.09345803 0.09330229 0.09327544 0.09281359
 0.09240545 0.09182009 0.08671294 0.08593425 0.08288392]","(np.float64(1.0329898017410772), np.float64(1.031510702783191), np.float64(1.0296174561170959), np.float64(1.0279017013259475), np.float64(1.0276058815343703), np.float64(1.0225177811192405), np.float64(1.0180213202872657), np.float64(1.0115724488308806), np.float64(0.955307524472877), np.float64(0.9467287505171351), np.float64(0.9131236221939535))","('SMM', 'SORD', 'MS', 'DyS', 'X', 'MAX', 'ACC', 'PACC', 'HDy', 'CC', 'PCC')","[0.09374283 0.09373215 0.09364143 0.09359874 0.09310243 0.09293166
 0.09267551 0.09152814 0.09046615 0.08306962 0.08151133]","(np.float64(1.0333002281269756), np.float64(1.0331825804338244), np.float64(1.0321825750420381), np.float64(1.0317119842694327), np.float64(1.0262413665378944), np.float64(1.0243590034474732), np.float64(1.0215354588118406), np.float64(1.0088883317980701), np.float64(0.9971823863295107), np.float64(0.9156525349756237), np.float64(0.8984759717755264))"
1460_banana,"('DyS', 'SORD', 'MS', 'SMM', 'MAX', 'HDy', 'ACC', 'X', 'PACC', 'CC', 'PCC')","[0.09375557 0.09357791 0.09344332 0.09338948 0.09278651 0.092625
 0.09231275 0.092232   0.08699372 0.08610541 0.08277832]","(np.float64(1.0328510403460558), np.float64(1.0308938609140146), np.float64(1.0294111492230744), np.float64(1.0288180645466982), np.float64(1.0221755161712855), np.float64(1.0203962621421572), np.float64(1.0169563710191756), np.float64(1.0160667440046114), np.float64(0.9583596049932133), np.float64(0.9485737078330072), np.float64(0.9119210748329619))","('HDy', 'DyS', 'SORD', 'MAX', 'MS', 'X', 'PCC', 'SMM', 'ACC', 'CC', 'PACC')","[0.1051509  0.10155062 0.09841839 0.09841239 0.09159587 0.08897367
 0.08752156 0.08572743 0.08440733 0.08384928 0.07439257]","(np.float64(1.1665625969209958), np.float64(1.126620540884383), np.float64(1.0918709521325298), np.float64(1.0918043820391357), np.float64(1.0161807559431484), np.float64(0.9870896251298152), np.float64(0.9709796625283815), np.float64(0.9510752046034693), np.float64(0.9364297840567112), np.float64(0.9302387653710362), np.float64(0.825324298181533))"
1462_banknote-authentication,"('DyS', 'HDy', 'SORD', 'SMM', 'MS', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.09475374 0.094464   0.09405399 0.09395559 0.09391732 0.09347451
 0.09344171 0.09196567 0.0863458  0.08213637 0.08149128]","(np.float64(1.0451244414527079), np.float64(1.0419286331541984), np.float64(1.0374062629204586), np.float64(1.036320894064361), np.float64(1.0358988061758787), np.float64(1.0310146463234398), np.float64(1.0306528567047406), np.float64(1.0143723238632771), np.float64(0.95238570252615), np.float64(0.9059560347930876), np.float64(0.8988408389586702))","('DyS', 'SORD', 'MS', 'MAX', 'X', 'SMM', 'ACC', 'HDy', 'CC', 'PCC', 'PACC')","[0.09153672 0.09130928 0.09126885 0.0912638  0.09125369 0.09113744
 0.09112734 0.09111723 0.09063709 0.0898537  0.08949486]","(np.float64(1.0069471556800638), np.float64(1.004445266076568), np.float64(1.004000485702613), np.float64(1.0039448881558686), np.float64(1.0038336930623801), np.float64(1.0025549494872599), np.float64(1.0024437543937712), np.float64(1.0023325593002828), np.float64(0.9970507923595691), np.float64(0.9884331726141943), np.float64(0.9844857467953453))"
1466_cardiotocography,"('DyS', 'MAX', 'SORD', 'X', 'SMM', 'MS', 'ACC', 'HDy', 'PCC', 'CC', 'PACC')","[0.09853701 0.0981301  0.09784188 0.09716936 0.09709589 0.09554174
 0.09328116 0.09323595 0.07993243 0.07495916 0.07427533]","(np.float64(1.0950038505093729), np.float64(1.090482078529308), np.float64(1.0872791567100955), np.float64(1.0798056724652656), np.float64(1.0789892414133095), np.float64(1.0617185845450061), np.float64(1.0365976291002013), np.float64(1.0360952099913052), np.float64(0.8882583871986279), np.float64(0.832992285220057), np.float64(0.8253931961980033))","('ACC', 'CC', 'MAX', 'MS', 'SMM', 'SORD', 'X', 'DyS', 'HDy', 'PACC', 'PCC')","[0.09099143 0.09099143 0.09099143 0.09099143 0.09099143 0.09099143
 0.09099143 0.09097642 0.09096141 0.09056108 0.09056108]","(np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0007435889143264), np.float64(1.0005784526055428), np.float64(0.9961748177046502), np.float64(0.9961748177046502))"
1475_first-order-theorem-proving,"('DyS', 'MS', 'MAX', 'SMM', 'SORD', 'X', 'ACC', 'HDy', 'PACC', 'CC', 'PCC')","[0.09216335 0.09201861 0.09200827 0.09200827 0.09196692 0.09195658
 0.09170328 0.09163608 0.08975446 0.08839494 0.08638925]","(np.float64(1.0141793963578294), np.float64(1.0125866550958689), np.float64(1.0124728878628717), np.float64(1.0124728878628717), np.float64(1.0120178189308833), np.float64(1.0119040516978859), np.float64(1.009116754489455), np.float64(1.0083772674749736), np.float64(0.987671631069488), np.float64(0.9727112399303597), np.float64(0.9506403967289074))","('DyS', 'HDy', 'SORD', 'SMM', 'ACC', 'MS', 'MAX', 'X', 'PACC', 'CC', 'PCC')","[0.09423113 0.09406076 0.0937365  0.09358261 0.09347819 0.09329682
 0.09309897 0.09302203 0.08495949 0.08470668 0.08182681]","(np.float64(1.0388807876301696), np.float64(1.0370024462587852), np.float64(1.0334275384874414), np.float64(1.0317309720874817), np.float64(1.030579730601795), np.float64(1.0285802059161275), np.float64(1.0263989062590366), np.float64(1.0255506230590568), np.float64(0.9366626620325906), np.float64(0.933875445804085), np.float64(0.9021254174619798))"
1479_hill-valley,"('MAX', 'X', 'DyS', 'SORD', 'SMM', 'HDy', 'MS', 'ACC', 'PCC', 'PACC', 'CC')","[0.10011471 0.09998056 0.0993215  0.09891324 0.0977351  0.09201353
 0.09089955 0.09072458 0.07822578 0.07780002 0.07427143]","(np.float64(1.1126994686758374), np.float64(1.1112085510053462), np.float64(1.103883607667717), np.float64(1.0993460321488315), np.float64(1.0862518856514765), np.float64(1.0226610058796677), np.float64(1.0102799069638517), np.float64(1.0083352317414724), np.float64(0.8694205983561656), np.float64(0.8646885553150423), np.float64(0.8254709383303898))","('HDy', 'DyS', 'SORD', 'SMM', 'ACC', 'MS', 'MAX', 'X', 'PCC', 'CC', 'PACC')","[0.09893515 0.09879281 0.09809818 0.09742062 0.09731814 0.09695943
 0.08940957 0.08940957 0.08627803 0.07723073 0.07014775]","(np.float64(1.0999134792650431), np.float64(1.0983309810068864), np.float64(1.0906083895070795), np.float64(1.0830756977982519), np.float64(1.0819362990523786), np.float64(1.0779484034418227), np.float64(0.9940126958291702), np.float64(0.9940126958291702), np.float64(0.9591977341497138), np.float64(0.858614144861248), np.float64(0.7798690315353504))"
1485_madelon,"('PCC', 'CC', 'MS', 'SORD', 'HDy', 'DyS', 'ACC', 'MAX', 'X', 'SMM', 'PACC')","[0.10043696 0.09802707 0.09285227 0.09010786 0.08955488 0.08941152
 0.08923402 0.08923402 0.08775258 0.08756825 0.08582057]","(np.float64(1.1069450330962485), np.float64(1.0803848687247646), np.float64(1.0233519945219745), np.float64(0.9931050084671966), np.float64(0.9870104665009354), np.float64(0.9854304000652381), np.float64(0.983474127335327), np.float64(0.983474127335327), np.float64(0.9671467741664544), np.float64(0.9651152601777007), np.float64(0.9458534979139614))","('HDy', 'CC', 'DyS', 'PCC', 'PACC', 'SMM', 'MAX', 'SORD', 'MS', 'ACC', 'X')","[0.09405718 0.09318767 0.09297975 0.09220476 0.09163769 0.09129745
 0.09112733 0.08954584 0.08881495 0.08814707 0.08700033]","(np.float64(1.0351605676640303), np.float64(1.0255911016690618), np.float64(1.0233027511050476), np.float64(1.0147734444573582), np.float64(1.008532488373683), np.float64(1.004787914723478), np.float64(1.0029156278983753), np.float64(0.98551029482057), np.float64(0.9774663958682774), np.float64(0.9701159364808379), np.float64(0.957495336400517))"
1489_phoneme,"('DyS', 'SORD', 'MS', 'MAX', 'ACC', 'X', 'SMM', 'CC', 'PACC', 'HDy', 'PCC')","[0.09148101 0.09141521 0.09135954 0.09125325 0.09122795 0.09122795
 0.09121276 0.09064085 0.09058517 0.09020052 0.08939579]","(np.float64(1.0063333944686232), np.float64(1.0056096093481919), np.float64(1.0049971757847498), np.float64(1.0038279844363607), np.float64(1.003549605543887), np.float64(1.003549605543887), np.float64(1.003382578208403), np.float64(0.9970912152384994), np.float64(0.9964787816750574), np.float64(0.9922474225094586), np.float64(0.9833949737287977))","('DyS', 'MS', 'HDy', 'SORD', 'SMM', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.09455309 0.09419701 0.0941751  0.09402719 0.09395597 0.09356702
 0.09347937 0.09157295 0.08654943 0.08217783 0.08174505]","(np.float64(1.0428068330159301), np.float64(1.038879661768453), np.float64(1.038637989691685), np.float64(1.037006703173502), np.float64(1.0362212689240067), np.float64(1.0319315895613774), np.float64(1.030964901254306), np.float64(1.009939430575504), np.float64(0.9545361069764763), np.float64(0.9063225276612918), np.float64(0.9015495041451272))"
1494_qsar-biodeg,"('DyS', 'SORD', 'MS', 'MAX', 'X', 'SMM', 'ACC', 'HDy', 'CC', 'PCC', 'PACC')","[0.09153672 0.09130928 0.09126885 0.0912638  0.09125369 0.09113744
 0.09112734 0.09111723 0.09063709 0.0898537  0.08949486]","(np.float64(1.0069471556800638), np.float64(1.004445266076568), np.float64(1.004000485702613), np.float64(1.0039448881558686), np.float64(1.0038336930623801), np.float64(1.0025549494872599), np.float64(1.0024437543937712), np.float64(1.0023325593002828), np.float64(0.9970507923595691), np.float64(0.9884331726141943), np.float64(0.9844857467953453))","('HDy', 'DyS', 'SMM', 'MS', 'SORD', 'ACC', 'MAX', 'X', 'PACC', 'CC', 'PCC')","[0.09346407 0.09304991 0.09285876 0.0927207  0.09214193 0.09131891
 0.09111714 0.09010828 0.08992774 0.08916844 0.08412412]","(np.float64(1.0288616513490934), np.float64(1.0243024834929744), np.float64(1.0221982521747655), np.float64(1.020678529556059), np.float64(1.0143073847314823), np.float64(1.005247499889194), np.float64(1.0030263668310848), np.float64(0.9919207015405382), np.float64(0.9899333719622299), np.float64(0.9815748975593446), np.float64(0.9260465711066113))"
1496_ringnorm,"('DyS', 'HDy', 'SMM', 'MS', 'SORD', 'X', 'MAX', 'ACC', 'PACC', 'CC', 'PCC')","[0.09194774 0.09185519 0.09169579 0.09162895 0.09156725 0.09126388
 0.09126388 0.09120218 0.09042062 0.08917115 0.08798338]","(np.float64(1.0115868162343278), np.float64(1.0105685687690749), np.float64(1.008814920356695), np.float64(1.008079519409568), np.float64(1.0074006877660662), np.float64(1.0040630988521817), np.float64(1.0040630988521815), np.float64(1.0033842672086801), np.float64(0.9947857330576563), np.float64(0.981039392276743), np.float64(0.967971883139332))","('DyS', 'SORD', 'MS', 'SMM', 'HDy', 'MAX', 'ACC', 'X', 'PACC', 'CC', 'PCC')","[0.09384066 0.09344793 0.09338337 0.09310899 0.09301215 0.09281309
 0.09239884 0.09212984 0.08708886 0.08610433 0.08267194]","(np.float64(1.0337987409107101), np.float64(1.029472169656843), np.float64(1.0287609524644261), np.float64(1.025738279396656), np.float64(1.0246714536080312), np.float64(1.0224785339314135), np.float64(1.017914890280074), np.float64(1.0149514853116717), np.float64(0.9594172762038131), np.float64(0.9485712140194608), np.float64(0.9107581666226479))"
