quantifier,dataset,sample_size,sampling_seed,iteration,alpha,pred_prev,abs_error,run_time
Top-1,AedesQuinx,100,6396,1,0.0,0.0,0.0,0.22247580000112066
Top-1,AedesQuinx,100,8666,2,0.0,0.0,0.0,0.22141049999845563
Top-1,AedesQuinx,100,9274,3,0.0,0.0,0.0,0.22696849999920232
Top-1,AedesQuinx,100,2558,4,0.0,0.0,0.0,0.2214665999999852
Top-1,AedesQuinx,100,7849,5,0.0,0.0,0.0,0.22174559999984922
Top-1,AedesQuinx,100,2047,6,0.0,0.0,0.0,0.22120129999893834
Top-1,AedesQuinx,100,2747,7,0.0,0.01,0.01,0.2214259000029415
Top-1,AedesQuinx,100,9167,8,0.0,0.0,0.0,0.22210319999794592
Top-1,AedesQuinx,100,9998,9,0.0,0.0,0.0,0.2210045000028913
Top-1,AedesQuinx,100,189,10,0.0,0.0,0.0,0.2240340999996988
Top-1,AedesQuinx,100,2734,1,0.05,0.0,0.05,0.22188129999995
Top-1,AedesQuinx,100,3005,2,0.05,0.0,0.05,0.22084979999999632
Top-1,AedesQuinx,100,4658,3,0.05,0.0,0.05,0.22259089999715798
Top-1,AedesQuinx,100,1899,4,0.05,0.02,0.030000000000000002,0.2207081999986258
Top-1,AedesQuinx,100,7734,5,0.05,0.01,0.04,0.22253779999664403
Top-1,AedesQuinx,100,1267,6,0.05,0.0,0.05,0.2232015000008687
Top-1,AedesQuinx,100,1528,7,0.05,0.08,0.03,0.22255389999918407
Top-1,AedesQuinx,100,3556,8,0.05,0.0,0.05,0.22097589999975753
Top-1,AedesQuinx,100,3890,9,0.05,0.0,0.05,0.22124339999936637
Top-1,AedesQuinx,100,8838,10,0.05,0.0,0.05,0.22183680000307504
Top-1,AedesQuinx,100,5393,1,0.11,0.06,0.05,0.22136630000022706
Top-1,AedesQuinx,100,8792,2,0.11,0.05,0.06,0.22218029999930877
Top-1,AedesQuinx,100,8433,3,0.11,0.14,0.030000000000000013,0.2216344999978901
Top-1,AedesQuinx,100,7513,4,0.11,0.01,0.1,0.22069349999947008
Top-1,AedesQuinx,100,2612,5,0.11,0.04,0.07,0.22174660000018775
Top-1,AedesQuinx,100,7041,6,0.11,0.03,0.08,0.221421599999303
Top-1,AedesQuinx,100,9555,7,0.11,0.01,0.1,0.2213302999989537
Top-1,AedesQuinx,100,6235,8,0.11,0.02,0.09,0.22166139999899315
Top-1,AedesQuinx,100,5486,9,0.11,0.02,0.09,0.22293419999914477
Top-1,AedesQuinx,100,7099,10,0.11,0.05,0.06,0.22365179999906104
Top-1,AedesQuinx,100,9670,1,0.16,0.05,0.11,0.22196450000046752
Top-1,AedesQuinx,100,775,2,0.16,0.17,0.010000000000000009,0.22343009999895003
Top-1,AedesQuinx,100,8226,3,0.16,0.12,0.04000000000000001,0.22379319999890868
Top-1,AedesQuinx,100,3152,4,0.16,0.08,0.08,0.22171789999993052
Top-1,AedesQuinx,100,1585,5,0.16,0.1,0.06,0.22135890000208747
Top-1,AedesQuinx,100,3943,6,0.16,0.13,0.03,0.2200479000021005
Top-1,AedesQuinx,100,7555,7,0.16,0.02,0.14,0.22144529999786755
Top-1,AedesQuinx,100,3073,8,0.16,0.15,0.010000000000000009,0.22230800000033923
Top-1,AedesQuinx,100,1021,9,0.16,0.13,0.03,0.22121269999843207
Top-1,AedesQuinx,100,3843,10,0.16,0.15,0.010000000000000009,0.2206990999984555
Top-1,AedesQuinx,100,7989,1,0.21,0.14,0.06999999999999998,0.22163839999848278
Top-1,AedesQuinx,100,9692,2,0.21,0.08,0.13,0.22110039999824949
Top-1,AedesQuinx,100,6873,3,0.21,0.06,0.15,0.22063160000107018
Top-1,AedesQuinx,100,5675,4,0.21,0.22,0.010000000000000009,0.2205060999986017
Top-1,AedesQuinx,100,161,5,0.21,0.11,0.09999999999999999,0.2207176999982039
Top-1,AedesQuinx,100,4297,6,0.21,0.25,0.04000000000000001,0.22011050000219257
Top-1,AedesQuinx,100,995,7,0.21,0.15,0.06,0.22082169999703183
Top-1,AedesQuinx,100,7629,8,0.21,0.16,0.04999999999999999,0.22060269999929005
Top-1,AedesQuinx,100,9467,9,0.21,0.13,0.07999999999999999,0.22103129999959492
Top-1,AedesQuinx,100,1016,10,0.21,0.13,0.07999999999999999,0.22118309999859775
Top-1,AedesQuinx,100,7869,1,0.26,0.23,0.03,0.22143299999879673
Top-1,AedesQuinx,100,6439,2,0.26,0.09,0.17,0.21998059999896213
Top-1,AedesQuinx,100,7892,3,0.26,0.17,0.09,0.2198065000011411
Top-1,AedesQuinx,100,6863,4,0.26,0.31,0.04999999999999999,0.21989940000275965
Top-1,AedesQuinx,100,7916,5,0.26,0.16,0.1,0.2212617000004684
Top-1,AedesQuinx,100,8529,6,0.26,0.27,0.010000000000000009,0.22042220000003
Top-1,AedesQuinx,100,878,7,0.26,0.16,0.1,0.22129960000165738
Top-1,AedesQuinx,100,9268,8,0.26,0.18,0.08000000000000002,0.22016989999974612
Top-1,AedesQuinx,100,4887,9,0.26,0.21,0.05000000000000002,0.2209461000020383
Top-1,AedesQuinx,100,4859,10,0.26,0.2,0.06,0.22077929999795742
Top-1,AedesQuinx,100,6331,1,0.32,0.21,0.11000000000000001,0.22138819999963744
Top-1,AedesQuinx,100,8571,2,0.32,0.24,0.08000000000000002,0.21817229999942356
Top-1,AedesQuinx,100,8684,3,0.32,0.32,0.0,0.21934429999964777
Top-1,AedesQuinx,100,7208,4,0.32,0.25,0.07,0.22023210000043036
Top-1,AedesQuinx,100,5276,5,0.32,0.25,0.07,0.22171670000170707
Top-1,AedesQuinx,100,2062,6,0.32,0.23,0.09,0.22045400000206428
Top-1,AedesQuinx,100,64,7,0.32,0.32,0.0,0.22095270000136225
Top-1,AedesQuinx,100,8006,8,0.32,0.37,0.04999999999999999,0.22123990000181948
Top-1,AedesQuinx,100,2568,9,0.32,0.27,0.04999999999999999,0.2215734000019438
Top-1,AedesQuinx,100,5463,10,0.32,0.32,0.0,0.220429700002569
Top-1,AedesQuinx,100,2027,1,0.37,0.36,0.010000000000000009,0.22061570000005304
Top-1,AedesQuinx,100,2695,2,0.37,0.31,0.06,0.22080670000286773
Top-1,AedesQuinx,100,9687,3,0.37,0.31,0.06,0.22161639999831095
Top-1,AedesQuinx,100,5258,4,0.37,0.45,0.08000000000000002,0.2216904999986582
Top-1,AedesQuinx,100,5618,5,0.37,0.4,0.030000000000000027,0.2212878999998793
Top-1,AedesQuinx,100,6736,6,0.37,0.34,0.02999999999999997,0.22083430000202497
Top-1,AedesQuinx,100,391,7,0.37,0.44,0.07,0.22102459999950952
Top-1,AedesQuinx,100,5892,8,0.37,0.32,0.04999999999999999,0.22038869999960298
Top-1,AedesQuinx,100,3561,9,0.37,0.35,0.020000000000000018,0.22192010000071605
Top-1,AedesQuinx,100,6184,10,0.37,0.23,0.13999999999999999,0.22159640000245417
Top-1,AedesQuinx,100,3099,1,0.42,0.39,0.02999999999999997,0.2205320000030042
Top-1,AedesQuinx,100,6278,2,0.42,0.34,0.07999999999999996,0.2207444999985455
Top-1,AedesQuinx,100,8392,3,0.42,0.43,0.010000000000000009,0.22107799999866984
Top-1,AedesQuinx,100,3104,4,0.42,0.28,0.13999999999999996,0.2204316999996081
Top-1,AedesQuinx,100,7215,5,0.42,0.5,0.08000000000000002,0.22075249999761581
Top-1,AedesQuinx,100,2454,6,0.42,0.41,0.010000000000000009,0.222124600000825
Top-1,AedesQuinx,100,8996,7,0.42,0.3,0.12,0.22101580000162357
Top-1,AedesQuinx,100,2731,8,0.42,0.42,0.0,0.22202370000013616
Top-1,AedesQuinx,100,8154,9,0.42,0.42,0.0,0.22078250000049593
Top-1,AedesQuinx,100,9762,10,0.42,0.36,0.06,0.2217573000016273
Top-1,AedesQuinx,100,5056,1,0.47,0.54,0.07000000000000006,0.2222881999987294
Top-1,AedesQuinx,100,8110,2,0.47,0.55,0.08000000000000007,0.22049909999986994
Top-1,AedesQuinx,100,3840,3,0.47,0.45,0.019999999999999962,0.22126439999919967
Top-1,AedesQuinx,100,1028,4,0.47,0.4,0.06999999999999995,0.2238792000025569
Top-1,AedesQuinx,100,7385,5,0.47,0.42,0.04999999999999999,0.2206064999991213
Top-1,AedesQuinx,100,502,6,0.47,0.51,0.040000000000000036,0.22093849999873783
Top-1,AedesQuinx,100,6910,7,0.47,0.46,0.009999999999999953,0.22345539999878383
Top-1,AedesQuinx,100,9062,8,0.47,0.51,0.040000000000000036,0.22113399999943795
Top-1,AedesQuinx,100,6938,9,0.47,0.4,0.06999999999999995,0.22185349999926984
Top-1,AedesQuinx,100,4488,10,0.47,0.53,0.06000000000000005,0.2226647999996203
Top-1,AedesQuinx,100,206,1,0.53,0.4,0.13,0.22167869999975665
Top-1,AedesQuinx,100,5134,2,0.53,0.54,0.010000000000000009,0.22168360000068787
Top-1,AedesQuinx,100,5977,3,0.53,0.43,0.10000000000000003,0.22010779999982333
Top-1,AedesQuinx,100,7721,4,0.53,0.5,0.030000000000000027,0.22106200000052922
Top-1,AedesQuinx,100,7035,5,0.53,0.56,0.030000000000000027,0.22135549999802606
Top-1,AedesQuinx,100,1484,6,0.53,0.38,0.15000000000000002,0.2215475000011793
Top-1,AedesQuinx,100,7858,7,0.53,0.42,0.11000000000000004,0.22067880000031437
Top-1,AedesQuinx,100,863,8,0.53,0.55,0.020000000000000018,0.22135899999921094
Top-1,AedesQuinx,100,2790,9,0.53,0.44,0.09000000000000002,0.22336689999792725
Top-1,AedesQuinx,100,7408,10,0.53,0.46,0.07,0.22213990000091144
Top-1,AedesQuinx,100,8755,1,0.58,0.65,0.07000000000000006,0.22206999999980326
Top-1,AedesQuinx,100,5116,2,0.58,0.52,0.05999999999999994,0.22132549999878393
Top-1,AedesQuinx,100,6019,3,0.58,0.64,0.06000000000000005,0.2216578000006848
