,predicted_ranking,predicted_ranking_weights,predicted_ranking_arr,true_ranking,true_ranking_weights,true_ranking_arr
1043_ada_agnostic,"('DyS', 'SMM', 'SORD', 'HDy', 'MAX', 'X', 'MS', 'ACC', 'CC', 'PACC', 'PCC')","[0.09416082 0.0937549  0.09373353 0.09347032 0.09321372 0.09307326
 0.09193776 0.09085857 0.08585209 0.0852958  0.08464923]","(np.float64(1.0385855437691718), np.float64(1.0341082553486842), np.float64(1.0338725069897587), np.float64(1.030969379528567), np.float64(1.0281390877725807), np.float64(1.0265898590249927), np.float64(1.0140653193808185), np.float64(1.0021620230421144), np.float64(0.9469409753710436), np.float64(0.9408051497454226), np.float64(0.9336735056025887))","('SMM', 'SORD', 'MS', 'DyS', 'X', 'MAX', 'ACC', 'PACC', 'HDy', 'CC', 'PCC')","[0.09374283 0.09373215 0.09364143 0.09359874 0.09310243 0.09293166
 0.09267551 0.09152814 0.09046615 0.08306962 0.08151133]","(np.float64(1.0333002281269756), np.float64(1.0331825804338244), np.float64(1.0321825750420381), np.float64(1.0317119842694327), np.float64(1.0262413665378944), np.float64(1.0243590034474732), np.float64(1.0215354588118406), np.float64(1.0088883317980701), np.float64(0.9971823863295107), np.float64(0.9156525349756237), np.float64(0.8984759717755264))"
1460_banana,"('DyS', 'SORD', 'MS', 'SMM', 'MAX', 'HDy', 'ACC', 'X', 'PACC', 'CC', 'PCC')","[0.09374815 0.09356651 0.09343307 0.09337811 0.09278105 0.0926219
 0.09230286 0.09222509 0.08699871 0.08612817 0.08281639]","(np.float64(1.0327711837299276), np.float64(1.0307701692963793), np.float64(1.029300121281953), np.float64(1.028694701641092), np.float64(1.0221171846590869), np.float64(1.0203639293730735), np.float64(1.016849246331588), np.float64(1.015992558161679), np.float64(0.9584164046993673), np.float64(0.9488261997267663), np.float64(0.9123421571291692))","('HDy', 'DyS', 'SORD', 'MAX', 'MS', 'X', 'PCC', 'SMM', 'ACC', 'CC', 'PACC')","[0.1051509  0.10155062 0.09841839 0.09841239 0.09159587 0.08897367
 0.08752156 0.08572743 0.08440733 0.08384928 0.07439257]","(np.float64(1.1665625969209958), np.float64(1.126620540884383), np.float64(1.0918709521325298), np.float64(1.0918043820391357), np.float64(1.0161807559431484), np.float64(0.9870896251298152), np.float64(0.9709796625283815), np.float64(0.9510752046034693), np.float64(0.9364297840567112), np.float64(0.9302387653710362), np.float64(0.825324298181533))"
1462_banknote-authentication,"('DyS', 'HDy', 'SORD', 'SMM', 'MS', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.09475374 0.094464   0.09405399 0.09395559 0.09391732 0.09347451
 0.09344171 0.09196567 0.0863458  0.08213637 0.08149128]","(np.float64(1.0451244414503045), np.float64(1.0419286331502597), np.float64(1.037406262918798), np.float64(1.0363208940631854), np.float64(1.0358988061742262), np.float64(1.0310146463205117), np.float64(1.0306528567014543), np.float64(1.0143723238642064), np.float64(0.9523857025258848), np.float64(0.9059560348002181), np.float64(0.8988408389672418))","('DyS', 'SORD', 'MS', 'MAX', 'X', 'SMM', 'ACC', 'HDy', 'CC', 'PCC', 'PACC')","[0.09153672 0.09130928 0.09126885 0.0912638  0.09125369 0.09113744
 0.09112734 0.09111723 0.09063709 0.0898537  0.08949486]","(np.float64(1.0069471556800638), np.float64(1.004445266076568), np.float64(1.004000485702613), np.float64(1.0039448881558686), np.float64(1.0038336930623801), np.float64(1.0025549494872599), np.float64(1.0024437543937712), np.float64(1.0023325593002828), np.float64(0.9970507923595691), np.float64(0.9884331726141943), np.float64(0.9844857467953453))"
1466_cardiotocography,"('DyS', 'SORD', 'SMM', 'MS', 'MAX', 'X', 'ACC', 'HDy', 'PACC', 'CC', 'PCC')","[0.09370145 0.09336612 0.09330941 0.09317851 0.09287958 0.0928529
 0.09239952 0.09221317 0.08632137 0.08545664 0.08432134]","(np.float64(1.0330388890581488), np.float64(1.0293420157125246), np.float64(1.0287167860750503), np.float64(1.02727362045906), np.float64(1.0239780225896982), np.float64(1.0236838103007557), np.float64(1.0186854022483742), np.float64(1.0166310029249916), np.float64(0.951675040163507), np.float64(0.9421416268416136), np.float64(0.9296251382321827))","('ACC', 'CC', 'MAX', 'MS', 'SMM', 'SORD', 'X', 'DyS', 'HDy', 'PACC', 'PCC')","[0.09099143 0.09099143 0.09099143 0.09099143 0.09099143 0.09099143
 0.09099143 0.09097642 0.09096141 0.09056108 0.09056108]","(np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0007435889143264), np.float64(1.0005784526055428), np.float64(0.9961748177046502), np.float64(0.9961748177046502))"
1475_first-order-theorem-proving,"('DyS', 'SORD', 'HDy', 'MAX', 'SMM', 'X', 'MS', 'ACC', 'PCC', 'CC', 'PACC')","[0.09476713 0.09427978 0.09413775 0.09382241 0.09380038 0.0926795
 0.09188967 0.08949032 0.08514986 0.08512534 0.08485787]","(np.float64(1.0460302955247143), np.float64(1.0406510603083692), np.float64(1.039083280052306), np.float64(1.0356026266005713), np.float64(1.0353595132907354), np.float64(1.0229872495721888), np.float64(1.0142691917879723), np.float64(0.987785404488328), np.float64(0.9398758258769927), np.float64(0.9396052133592561), np.float64(0.9366529387403358))","('DyS', 'HDy', 'SORD', 'SMM', 'ACC', 'MS', 'MAX', 'X', 'PACC', 'CC', 'PCC')","[0.09423113 0.09406076 0.0937365  0.09358261 0.09347819 0.09329682
 0.09309897 0.09302203 0.08495949 0.08470668 0.08182681]","(np.float64(1.0388807876301696), np.float64(1.0370024462587852), np.float64(1.0334275384874414), np.float64(1.0317309720874817), np.float64(1.030579730601795), np.float64(1.0285802059161275), np.float64(1.0263989062590366), np.float64(1.0255506230590568), np.float64(0.9366626620325906), np.float64(0.933875445804085), np.float64(0.9021254174619798))"
1479_hill-valley,"('DyS', 'MAX', 'SORD', 'HDy', 'SMM', 'X', 'ACC', 'MS', 'CC', 'PCC', 'PACC')","[0.09359176 0.09317267 0.09301467 0.09268236 0.09257495 0.09187774
 0.09117291 0.09109652 0.08761108 0.08721259 0.08599275]","(np.float64(1.0319508752546436), np.float64(1.02732996146354), np.float64(1.025587816042714), np.float64(1.0219237314942895), np.float64(1.0207394433748997), np.float64(1.0130518958655566), np.float64(1.0052803973829187), np.float64(1.0044381995983893), np.float64(0.9660074367017263), np.float64(0.9616136377713124), np.float64(0.9481635586202861))","('HDy', 'DyS', 'SORD', 'SMM', 'ACC', 'MS', 'MAX', 'X', 'PCC', 'CC', 'PACC')","[0.09893515 0.09879281 0.09809818 0.09742062 0.09731814 0.09695943
 0.08940957 0.08940957 0.08627803 0.07723073 0.07014775]","(np.float64(1.0999134792650431), np.float64(1.0983309810068864), np.float64(1.0906083895070795), np.float64(1.0830756977982519), np.float64(1.0819362990523786), np.float64(1.0779484034418227), np.float64(0.9940126958291702), np.float64(0.9940126958291702), np.float64(0.9591977341497138), np.float64(0.858614144861248), np.float64(0.7798690315353504))"
1485_madelon,"('DyS', 'HDy', 'SORD', 'MAX', 'MS', 'SMM', 'ACC', 'X', 'PCC', 'CC', 'PACC')","[0.09333259 0.09303223 0.09284851 0.0924343  0.09192787 0.09159416
 0.09090083 0.09059526 0.08960174 0.0890343  0.08469819]","(np.float64(1.0292084931172232), np.float64(1.0258964088142202), np.float64(1.0238704575460835), np.float64(1.0193028142336824), np.float64(1.0137182793300232), np.float64(1.0100383477064978), np.float64(1.002392754683872), np.float64(0.9990231553078279), np.float64(0.9880672114439134), np.float64(0.9818099258469872), np.float64(0.9339942520463334))","('HDy', 'CC', 'DyS', 'PCC', 'PACC', 'SMM', 'MAX', 'SORD', 'MS', 'ACC', 'X')","[0.09405718 0.09318767 0.09297975 0.09220476 0.09163769 0.09129745
 0.09112733 0.08954584 0.08881495 0.08814707 0.08700033]","(np.float64(1.0351605676640303), np.float64(1.0255911016690618), np.float64(1.0233027511050476), np.float64(1.0147734444573582), np.float64(1.008532488373683), np.float64(1.004787914723478), np.float64(1.0029156278983753), np.float64(0.98551029482057), np.float64(0.9774663958682774), np.float64(0.9701159364808379), np.float64(0.957495336400517))"
1489_phoneme,"('DyS', 'SORD', 'MS', 'MAX', 'X', 'ACC', 'SMM', 'CC', 'PACC', 'HDy', 'PCC')","[0.09148101 0.09141521 0.09135954 0.09125325 0.09122795 0.09122795
 0.09121276 0.09064085 0.09058517 0.09020052 0.08939579]","(np.float64(1.00633339447491), np.float64(1.0056096093539868), np.float64(1.0049971757898397), np.float64(1.0038279844417022), np.float64(1.0035496055490039), np.float64(1.003549605546084), np.float64(1.0033825782145476), np.float64(0.9970912152259337), np.float64(0.9964787816632129), np.float64(0.9922474225145075), np.float64(0.9833949737188428))","('DyS', 'MS', 'HDy', 'SORD', 'SMM', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.09455309 0.09419701 0.0941751  0.09402719 0.09395597 0.09356702
 0.09347937 0.09157295 0.08654943 0.08217783 0.08174505]","(np.float64(1.0428068330159301), np.float64(1.038879661768453), np.float64(1.038637989691685), np.float64(1.037006703173502), np.float64(1.0362212689240067), np.float64(1.0319315895613774), np.float64(1.030964901254306), np.float64(1.009939430575504), np.float64(0.9545361069764763), np.float64(0.9063225276612918), np.float64(0.9015495041451272))"
1494_qsar-biodeg,"('DyS', 'SORD', 'MS', 'MAX', 'X', 'SMM', 'ACC', 'HDy', 'CC', 'PCC', 'PACC')","[0.09153672 0.09130928 0.09126885 0.0912638  0.09125369 0.09113744
 0.09112734 0.09111723 0.09063709 0.0898537  0.08949486]","(np.float64(1.0069471556864342), np.float64(1.0044452660827408), np.float64(1.0040004857045635), np.float64(1.0039448881612365), np.float64(1.0038336930675724), np.float64(1.0025549494935895), np.float64(1.0024437543934934), np.float64(1.0023325593051093), np.float64(0.9970507923495633), np.float64(0.9884331726045826), np.float64(0.9844857467855593))","('HDy', 'DyS', 'SMM', 'MS', 'SORD', 'ACC', 'MAX', 'X', 'PACC', 'CC', 'PCC')","[0.09346407 0.09304991 0.09285876 0.0927207  0.09214193 0.09131891
 0.09111714 0.09010828 0.08992774 0.08916844 0.08412412]","(np.float64(1.0288616513490934), np.float64(1.0243024834929744), np.float64(1.0221982521747655), np.float64(1.020678529556059), np.float64(1.0143073847314823), np.float64(1.005247499889194), np.float64(1.0030263668310848), np.float64(0.9919207015405382), np.float64(0.9899333719622299), np.float64(0.9815748975593446), np.float64(0.9260465711066113))"
1496_ringnorm,"('DyS', 'HDy', 'SMM', 'MS', 'SORD', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.09194774 0.09185519 0.09169579 0.09162895 0.09156725 0.09126388
 0.09126388 0.09120218 0.09042062 0.08917115 0.08798338]","(np.float64(1.0115868162387378), np.float64(1.010568568772218), np.float64(1.0088149203556205), np.float64(1.0080795194118122), np.float64(1.0074006877698862), np.float64(1.004063098856199), np.float64(1.0040630988529484), np.float64(1.0033842672080604), np.float64(0.9947857330474376), np.float64(0.9810393922743986), np.float64(0.96797188314038))","('DyS', 'SORD', 'MS', 'SMM', 'HDy', 'MAX', 'ACC', 'X', 'PACC', 'CC', 'PCC')","[0.09384066 0.09344793 0.09338337 0.09310899 0.09301215 0.09281309
 0.09239884 0.09212984 0.08708886 0.08610433 0.08267194]","(np.float64(1.0337987409107101), np.float64(1.029472169656843), np.float64(1.0287609524644261), np.float64(1.025738279396656), np.float64(1.0246714536080312), np.float64(1.0224785339314135), np.float64(1.017914890280074), np.float64(1.0149514853116717), np.float64(0.9594172762038131), np.float64(0.9485712140194608), np.float64(0.9107581666226479))"
