1,2,3,4,5,6,7,8,9,10
1.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
2.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
3.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
4.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
5.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
6.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
7.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
8.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
9.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
10.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
11.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
12.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
13.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
14.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
15.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
16.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
17.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
18.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
19.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
20.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
21.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
22.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
23.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
24.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
25.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
26.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
27.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
28.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
29.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
30.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
31.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
32.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
33.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
34.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
35.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
36.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
37.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
38.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
39.0,4.840446,5.0,2.0,81.05207,6.0,1.635494,24.11053,1.0,1.0
1.0,4.355449,0.0,8.0,93.72386,3.0,0.234684,96.0864,1.0,1.0
2.0,4.355449,0.0,8.0,93.72386,3.0,0.234684,96.0864,1.0,1.0
3.0,4.355449,0.0,8.0,93.72386,3.0,0.234684,96.0864,1.0,1.0
4.0,4.355449,0.0,8.0,93.72386,3.0,0.234684,96.0864,1.0,1.0
5.0,4.355449,0.0,8.0,93.72386,3.0,0.234684,96.0864,1.0,1.0
6.0,4.355449,0.0,8.0,93.72386,3.0,0.234684,96.0864,1.0,1.0
7.0,4.355449,0.0,8.0,93.72386,3.0,0.234684,96.0864,1.0,1.0
