quantifier,dataset,predicted_error,true_error
ACC,AedesQuinx,0.30632249999999983,0.0396
ACC,AedesSex,0.279634,0.011899999999999999
ACC,ArabicDigit,0.3046594999999999,0.00895
ACC,BNG,0.2927314999999999,0.0117
ACC,HTRU,0.2571079999999998,0.0305
ACC,anuranCalls,0.2947694999999999,0.020200000000000003
ACC,click-prediction,0.20055649999999992,0.5
ACC,cmc,0.27757099999999996,0.10124999999999999
ACC,covtype_reduced,0.29213349999999977,0.065
ACC,default_credit_card_clients,0.269463,0.10610000000000001
ACC,eeg,0.29186199999999995,0.49985
ACC,jm1-processed,0.30943099999999973,0.2076
ACC,letter-recognition,0.31967999999999985,0.20470000000000002
ACC,magic,0.2834399999999999,0.0635
ACC,mozilla,0.32086499999999984,0.044950000000000004
ACC,namao,0.3211015,0.01975
ACC,occupancy,0.28618949999999993,0.007549999999999999
ACC,phoneme,0.29016999999999993,0.09759999999999999
ACC,spambase,0.2878934999999998,0.03760000000000001
ACC,winetype,0.24440949999999997,0.01305
CC,AedesQuinx,0.31827150000000015,0.09885000000000001
CC,AedesSex,0.3421725,0.0156
CC,ArabicDigit,0.344638,0.0108
CC,BNG,0.33757100000000007,0.0165
CC,HTRU,0.3235315000000001,0.12384999999999999
CC,anuranCalls,0.3261660000000002,0.0439
CC,click-prediction,0.2908965000000002,0.5
CC,cmc,0.32612100000000005,0.24315000000000003
CC,covtype_reduced,0.35022800000000004,0.1277
CC,default_credit_card_clients,0.32514800000000016,0.37545
CC,eeg,0.3191940000000003,0.49985
CC,jm1-processed,0.3231690000000002,0.46215
CC,letter-recognition,0.3291110000000001,0.4474
CC,magic,0.34439400000000014,0.18445
CC,mozilla,0.337961,0.09585
CC,namao,0.34748900000000027,0.044700000000000004
CC,occupancy,0.35029750000000015,0.00915
CC,phoneme,0.336468,0.2555
CC,spambase,0.3715330000000003,0.08575
CC,winetype,0.35160850000000005,0.01055
DyS,AedesQuinx,0.13822600000000007,0.03625
DyS,AedesSex,0.13736200000000007,0.0093
DyS,ArabicDigit,0.13492450000000006,0.0066
DyS,BNG,0.13706450000000003,0.0099
DyS,HTRU,0.10985450000000009,0.0193
DyS,anuranCalls,0.13575200000000007,0.01575
DyS,click-prediction,0.09945000000000011,0.1383
DyS,cmc,0.13419799999999996,0.0829
DyS,covtype_reduced,0.12428800000000002,0.05285000000000001
DyS,default_credit_card_clients,0.12140400000000003,0.08105
DyS,eeg,0.07386200000000008,0.22475
