dataset,predicted_ranking,true_ranking,predicted_ranking_error,true_ranking_error
AedesQuinx,"['SMM', 'HDy', 'DyS', 'SORD', 'X', 'MAX', 'PCC', 'MS', 'ACC', 'CC', 'PACC']","['DyS', 'MS', 'SORD', 'SMM', 'ACC', 'X', 'MAX', 'HDy', 'PACC', 'CC', 'PCC']","[np.float64(0.09580999999999996), np.float64(0.09925249999999992), np.float64(0.10944000000000002), np.float64(0.11130099999999991), np.float64(0.12517349999999994), np.float64(0.12601100000000004), np.float64(0.23027850000000016), np.float64(0.28497349999999994), np.float64(0.29724149999999994), np.float64(0.3097490000000001), np.float64(0.3221584999999999)]","[np.float64(0.03625), np.float64(0.03765), np.float64(0.03775), np.float64(0.03925), np.float64(0.0396), np.float64(0.0406), np.float64(0.0421), np.float64(0.0546), np.float64(0.0891), np.float64(0.09885), np.float64(0.14945)]"
AedesSex,"['SMM', 'HDy', 'SORD', 'DyS', 'X', 'MAX', 'PCC', 'MS', 'ACC', 'CC', 'PACC']","['DyS', 'MS', 'SORD', 'SMM', 'MAX', 'ACC', 'X', 'HDy', 'CC', 'PACC', 'PCC']","[np.float64(0.09270799999999996), np.float64(0.09985349999999993), np.float64(0.11375099999999991), np.float64(0.12257400000000002), np.float64(0.12840749999999995), np.float64(0.12958150000000004), np.float64(0.21298400000000012), np.float64(0.24777000000000005), np.float64(0.31408349999999985), np.float64(0.37080100000000016), np.float64(0.3771005)]","[np.float64(0.0093), np.float64(0.00945), np.float64(0.00945), np.float64(0.01045), np.float64(0.0113), np.float64(0.0118999999999999), np.float64(0.01235), np.float64(0.01255), np.float64(0.0156), np.float64(0.02055), np.float64(0.02745)]"
ArabicDigit,"['SMM', 'HDy', 'SORD', 'DyS', 'X', 'MAX', 'PCC', 'ACC', 'MS', 'CC', 'PACC']","['DyS', 'MS', 'SORD', 'SMM', 'ACC', 'X', 'MAX', 'CC', 'PACC', 'HDy', 'PCC']","[np.float64(0.09934149999999992), np.float64(0.10417949999999995), np.float64(0.11120849999999997), np.float64(0.12463200000000009), np.float64(0.12716149999999998), np.float64(0.13195), np.float64(0.2252145000000001), np.float64(0.2716949999999998), np.float64(0.29891399999999985), np.float64(0.3427450000000003), np.float64(0.367592)]","[np.float64(0.0066), np.float64(0.0073999999999999), np.float64(0.0076), np.float64(0.00855), np.float64(0.00895), np.float64(0.00895), np.float64(0.009), np.float64(0.0108), np.float64(0.0111), np.float64(0.0124), np.float64(0.0159)]"
BNG,"['SMM', 'HDy', 'X', 'DyS', 'SORD', 'MAX', 'PCC', 'MS', 'ACC', 'PACC', 'CC']","['SORD', 'MS', 'DyS', 'SMM', 'MAX', 'X', 'ACC', 'PACC', 'HDy', 'CC', 'PCC']","[np.float64(0.08435249999999997), np.float64(0.09725699999999994), np.float64(0.11775799999999997), np.float64(0.12450900000000001), np.float64(0.12753799999999996), np.float64(0.14593400000000006), np.float64(0.22069000000000016), np.float64(0.3274759999999998), np.float64(0.3441265), np.float64(0.3459999999999999), np.float64(0.3725530000000002)]","[np.float64(0.00965), np.float64(0.00985), np.float64(0.0099), np.float64(0.0102), np.float64(0.0104), np.float64(0.01065), np.float64(0.0117), np.float64(0.01255), np.float64(0.0141), np.float64(0.0165), np.float64(0.02225)]"
HTRU,"['SMM', 'DyS', 'X', 'SORD', 'MAX', 'HDy', 'PCC', 'MS', 'ACC', 'PACC', 'CC']","['DyS', 'MAX', 'X', 'SMM', 'SORD', 'MS', 'ACC', 'PACC', 'HDy', 'PCC', 'CC']","[np.float64(0.06652399999999994), np.float64(0.08916950000000005), np.float64(0.09426649999999999), np.float64(0.10077049999999993), np.float64(0.11469399999999999), np.float64(0.11857449999999989), np.float64(0.199801), np.float64(0.23785249999999997), np.float64(0.2855429999999999), np.float64(0.31241999999999975), np.float64(0.32800600000000024)]","[np.float64(0.0193), np.float64(0.0216), np.float64(0.02375), np.float64(0.02485), np.float64(0.0255), np.float64(0.02575), np.float64(0.0305), np.float64(0.03165), np.float64(0.0455), np.float64(0.1067499999999999), np.float64(0.1238499999999999)]"
anuranCalls,"['SMM', 'SORD', 'HDy', 'MAX', 'X', 'DyS', 'PCC', 'ACC', 'MS', 'CC', 'PACC']","['DyS', 'MS', 'SORD', 'SMM', 'MAX', 'X', 'ACC', 'PACC', 'HDy', 'CC', 'PCC']","[np.float64(0.09646199999999995), np.float64(0.10535199999999995), np.float64(0.10771249999999996), np.float64(0.1216635), np.float64(0.12497099999999998), np.float64(0.12531150000000005), np.float64(0.20629650000000002), np.float64(0.2758839999999999), np.float64(0.32723549999999996), np.float64(0.3504720000000001), np.float64(0.36066450000000005)]","[np.float64(0.01575), np.float64(0.0166), np.float64(0.0167), np.float64(0.01725), np.float64(0.01905), np.float64(0.0191), np.float64(0.0202), np.float64(0.02685), np.float64(0.0329), np.float64(0.0439), np.float64(0.05965)]"
click-prediction,"['SMM', 'X', 'DyS', 'HDy', 'SORD', 'MAX', 'PCC', 'ACC', 'MS', 'PACC', 'CC']","['SMM', 'DyS', 'HDy', 'SORD', 'X', 'MAX', 'PACC', 'PCC', 'ACC', 'CC', 'MS']","[np.float64(0.06426849999999994), np.float64(0.06652900000000003), np.float64(0.07600300000000006), np.float64(0.0790565), np.float64(0.09478699999999994), np.float64(0.11366750000000003), np.float64(0.17243150000000004), np.float64(0.17889600000000003), np.float64(0.20215700000000006), np.float64(0.2529599999999999), np.float64(0.29878400000000005)]","[np.float64(0.1367), np.float64(0.1383), np.float64(0.13955), np.float64(0.14165), np.float64(0.1495), np.float64(0.1544), np.float64(0.35525), np.float64(0.35525), np.float64(0.5), np.float64(0.5), np.float64(0.5)]"
cmc,"['SMM', 'HDy', 'SORD', 'X', 'DyS', 'MAX', 'PCC', 'ACC', 'MS', 'CC', 'PACC']","['SMM', 'SORD', 'MS', 'DyS', 'X', 'ACC', 'MAX', 'HDy', 'PCC', 'CC', 'PACC']","[np.float64(0.08248899999999994), np.float64(0.10010099999999993), np.float64(0.11442099999999997), np.float64(0.11783049999999996), np.float64(0.11895199999999996), np.float64(0.13768599999999998), np.float64(0.23039500000000002), np.float64(0.28738949999999996), np.float64(0.304023), np.float64(0.3186695000000002), np.float64(0.35788800000000004)]","[np.float64(0.07345), np.float64(0.0741), np.float64(0.07585), np.float64(0.0829), np.float64(0.097), np.float64(0.1012499999999999), np.float64(0.10425), np.float64(0.1548), np.float64(0.23205), np.float64(0.24315), np.float64(0.40945)]"
covtype_reduced,"['HDy', 'SMM', 'SORD', 'X', 'DyS', 'MAX', 'PCC', 'ACC', 'MS', 'CC', 'PACC']","['DyS', 'SORD', 'SMM', 'MS', 'MAX', 'X', 'ACC', 'HDy', 'PACC', 'CC', 'PCC']","[np.float64(0.09414599999999995), np.float64(0.09669199999999992), np.float64(0.11096149999999988), np.float64(0.12616949999999988), np.float64(0.12950250000000002), np.float64(0.13811350000000006), np.float64(0.206547), np.float64(0.2740079999999998), np.float64(0.3003279999999999), np.float64(0.3332370000000001), np.float64(0.3869940000000001)]","[np.float64(0.05285), np.float64(0.05375), np.float64(0.0541), np.float64(0.05645), np.float64(0.06235), np.float64(0.0631), np.float64(0.065), np.float64(0.066), np.float64(0.11645), np.float64(0.1277), np.float64(0.18105)]"
default_credit_card_clients,"['SMM', 'HDy', 'SORD', 'X', 'DyS', 'MAX', 'PCC', 'PACC', 'ACC', 'MS', 'CC']","['SORD', 'SMM', 'MAX', 'DyS', 'MS', 'X', 'ACC', 'HDy', 'PCC', 'CC', 'PACC']","[np.float64(0.07940349999999997), np.float64(0.10214699999999988), np.float64(0.10823249999999993), np.float64(0.11355700000000005), np.float64(0.12470800000000005), np.float64(0.13633450000000003), np.float64(0.22122399999999998), np.float64(0.28465349999999995), np.float64(0.28484349999999986), np.float64(0.2911100000000001), np.float64(0.2978830000000001)]","[np.float64(0.07555), np.float64(0.07635), np.float64(0.0793), np.float64(0.08105), np.float64(0.0952), np.float64(0.09755), np.float64(0.1061), np.float64(0.1381), np.float64(0.28855), np.float64(0.37545), np.float64(0.4547)]"
